t,value
1610703737,0
1610704037,0
1610704337,0
1610704637,0
1610704937,0
1610705237,0
1610705537,0
1610705837,0
1610706137,0
1610706437,0
1610706737,0
1610707037,0
1610707337,0
1610707637,0
1610707937,0
1610708237,0
1610708537,0
1610708837,0
1610709137,0
1610709437,0
1610709737,0
1610710037,0
1610710337,0
1610710637,0
1610710937,0
1610711237,0
1610711537,0
1610711837,0
1610712137,0
1610712437,0
1610712737,0
1610713037,0
1610713337,0
1610713637,0
1610713937,0
1610714237,0
1610714537,0
1610714837,0
1610715137,0
1610715437,0
1610715737,0
1610716037,0
1610716337,0
1610716637,0
1610716937,0
1610717237,0
1610717537,0
1610717837,0
1610718137,0
1610718437,0
1610718737,0
1610719037,0
1610719337,0
1610719637,0
1610719937,0
1610720237,0
1610720537,0
1610720837,0
1610721137,0
1610721437,0
1610721737,0
1610722037,0
1610722337,0
1610722637,0
1610722937,0
1610723237,0
1610723537,0
1610723837,0
1610724137,0
1610724437,0
1610724737,0
1610725037,0
1610725337,0
1610725637,0
1610725937,0
1610726237,0
1610726537,0
1610726837,0
1610727137,0
1610727437,0
1610727737,0
1610728037,0
1610728337,0
1610728637,0
1610728937,0
1610729237,0
1610729537,0
1610729837,0
1610730137,0
1610730437,0
1610730737,0
1610731037,0
1610731337,0
1610731637,0
1610731937,0
1610732237,0
1610732537,0
1610732837,0
1610733137,0
1610733437,0
1610733737,0
1610734037,0
1610734337,0
1610734637,0
1610734937,0
1610735237,0
1610735537,0
1610735837,0
1610736137,0
1610736437,0
1610736737,0
1610737037,0
1610737337,0
1610737637,0
1610737938,0
1610738237,0
1610738537,0
1610738837,0
1610739137,0
1610739437,0
1610739737,0
1610740037,0
1610740337,0
1610740637,0
1610740937,0
1610741237,0
1610741537,0
1610741837,0
1610742137,0
1610742437,0
1610742737,0
1610743037,0
1610743337,0
1610743637,0
1610743937,0
1610744237,0
1610744537,0
1610744838,0
1610745137,0
1610745437,0
1610745737,0
1610746037,0
1610746337,0
1610746637,0
1610746937,0
1610747237,0
1610747537,0
1610747837,0
1610748137,0
1610748437,0
1610748737,0
1610749037,0
1610749337,0
1610749637,0
1610749937,0
1610750237,0
1610750537,0
1610750837,0
1610751137,0
1610751437,0
1610751737,0
1610752037,0
1610752337,0
1610752637,0
1610752937,0
1610753237,0
1610753537,0
1610753837,0
1610754137,0
1610754437,0
1610754737,0
1610755037,0
1610755337,0
1610755637,0
1610755937,0
1610756237,0
1610756537,0
1610756837,0
1610757138,0
1610757437,0
1610757737,0
1610758037,0
1610758337,0
1610758637,0
1610758937,0
1610759237,0
1610759537,0
1610759837,0
1610760137,0
1610760437,0
1610760737,0
1610761037,0
1610761337,0
1610761637,0
1610761937,0
1610762237,0
1610762537,0
1610762837,0
1610763137,0
1610763437,0
1610763737,0
1610764037,0
1610764337,0
1610764637,0
1610764937,0
1610765237,0
1610765537,0
1610765837,0
1610766137,0
1610766437,0
1610766737,0
1610767037,0
1610767337,0
1610767637,0
1610767937,0
1610768237,0
1610768537,0
1610768837,0
1610769137,0
1610769437,0
1610769737,0
1610770037,0
1610770337,0
1610770637,0
1610770937,0
1610771237,0
1610771537,0
1610771837,0
1610772137,0
1610772437,0
1610772737,0
1610773037,0
1610773337,0
1610773637,0
1610773937,0
1610774237,0
1610774537,0
1610774837,0
1610775137,0
1610775437,0
1610775737,0
1610776037,0
1610776337,0
1610776637,0
1610776937,0
1610777238,0
1610777537,0
1610777837,0
1610778137,0
1610778437,0
1610778737,0
1610779037,0
1610779337,0
1610779637,0
1610779937,0
1610780237,0
1610780537,0
1610780837,0
1610781137,0
1610781437,0
1610781737,0
1610782037,0
1610782337,0
1610782637,0
1610782937,0
1610783237,0
1610783537,0
1610783837,0
1610784137,0
1610784437,0
1610784737,0
1610785037,0
1610785337,0
1610785637,0
1610785937,0
1610786237,0
1610786537,0
1610786837,0
1610787137,0
1610787437,0
1610787737,0
1610788037,0
1610788337,0
1610788637,0
1610788937,0
1610789237,0
1610789537,0
1610789837,0
1610790137,0
1610790437,0
1610790737,0
1610791037,0
1610791337,0
1610791637,0
1610791937,0
1610792237,0
1610792537,0
1610792837,0
1610793137,0
1610793437,0
1610793737,0
1610794037,0
1610794337,0
1610794637,0
1610794937,0
1610795237,0
1610795537,0
1610795837,0
1610796137,0
1610796437,0
1610796737,0
1610797037,0
1610797337,0
1610797637,0
1610797937,0
1610798237,0
1610798537,0
1610798837,0
1610799137,0
1610799437,0
1610799737,0
1610800037,0
1610800337,0
1610800637,0
1610800937,0
1610801237,0
1610801537,0
1610801837,0
1610802060,0
1610802060,0
