t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1610802428,19,4.195000,0.589787,0.034040,0.339326,0.544746,0.676416,0.779678,0.779678,1.647064,4.195000,0.063310,0.046805,1.132229,2.165591,calls/second,milliseconds
1610802728,67,4.195000,0.403296,0.034040,0.413525,0.227895,0.435614,1.429504,1.429504,1.429504,1.495807,0.111645,0.136416,0.524078,1.598318,calls/second,milliseconds
1610803028,72,4.195000,1.497255,0.034040,0.364038,1.582752,1.582752,1.813351,1.813351,1.813351,1.813351,0.079990,0.026046,0.204325,1.150115,calls/second,milliseconds
1610803328,77,4.195000,1.559381,0.034040,0.329287,1.735841,1.735841,1.735841,1.735841,1.735841,1.813351,0.064160,0.025303,0.086695,0.828964,calls/second,milliseconds
1610803628,82,4.195000,1.093575,0.034040,0.133552,1.109415,1.123076,1.123076,1.635123,1.635123,1.735841,0.054663,0.025298,0.043421,0.598849,calls/second,milliseconds
1610803928,90,4.195000,0.472467,0.034040,0.198051,0.494979,0.494979,1.075968,1.109415,1.410271,1.410271,0.049997,0.027319,0.032765,0.436655,calls/second,milliseconds
1610804228,95,4.195000,0.201351,0.034040,0.043480,0.214335,0.214335,0.214335,0.248777,0.369263,0.494979,0.045236,0.025311,0.023581,0.317747,calls/second,milliseconds
1610804528,100,4.195000,0.252885,0.034040,0.024915,0.251136,0.257046,0.281843,0.281843,0.344350,0.344350,0.041665,0.025298,0.020203,0.232546,calls/second,milliseconds
1610804828,105,4.195000,0.290505,0.034040,0.013965,0.286159,0.287946,0.330526,0.330526,0.330526,0.330526,0.038887,0.025298,0.018960,0.171497,calls/second,milliseconds
1610805128,110,4.195000,0.150043,0.034040,0.017926,0.141493,0.164181,0.164181,0.164181,0.286159,0.330526,0.036665,0.025298,0.018503,0.127753,calls/second,milliseconds
1610805193,112,4.195000,0.164992,0.034040,0.015824,0.157589,0.180643,0.180643,0.180643,0.180643,0.286159,0.036541,0.023275,0.018149,0.119954,calls/second,milliseconds
1610805193,112,4.195000,0.164992,0.034040,0.015824,0.157589,0.180643,0.180643,0.180643,0.180643,0.286159,0.036541,0.023275,0.018149,0.119954,calls/second,milliseconds
