t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1610883153,19,4.382670,0.088108,0.004571,0.448119,0.006130,0.017513,0.476750,0.731007,0.921993,4.382670,0.063337,0.040252,1.150286,2.177523,calls/second,milliseconds
1610883453,67,4.382670,0.365217,0.004571,0.457970,0.158419,0.522939,1.590961,1.896333,1.896333,1.896333,0.111670,0.144329,0.532217,1.607074,calls/second,milliseconds
1610883753,72,4.382670,0.073784,0.004571,0.173110,0.029072,0.050382,0.328972,0.606822,0.854022,1.896333,0.080001,0.017537,0.206398,1.156256,calls/second,milliseconds
1610884053,77,4.382670,0.036807,0.004571,0.020919,0.042203,0.042203,0.042203,0.042203,0.042203,0.060537,0.064167,0.016683,0.086535,0.833230,calls/second,milliseconds
1610884353,85,4.382670,0.224210,0.004571,0.325671,0.051849,0.057878,0.826418,0.826418,0.826418,0.826418,0.056667,0.025014,0.049429,0.604730,calls/second,milliseconds
1610884653,90,4.382670,0.067183,0.004571,0.048561,0.067630,0.069597,0.069597,0.070307,0.070307,0.826418,0.050001,0.016733,0.028790,0.438045,calls/second,milliseconds
1610884953,95,4.382670,0.063573,0.004571,0.006454,0.066326,0.066326,0.066326,0.066326,0.066326,0.069597,0.045239,0.016678,0.021197,0.318610,calls/second,milliseconds
1610885253,100,4.382670,0.035814,0.004571,0.006144,0.036457,0.036457,0.039928,0.066326,0.068605,0.068605,0.041667,0.016677,0.018404,0.233031,calls/second,milliseconds
1610885553,105,4.382670,0.080599,0.004571,0.083832,0.047699,0.071870,0.332515,0.332515,0.332515,0.332515,0.038889,0.016677,0.017376,0.171710,calls/second,milliseconds
1610885853,110,4.382670,0.048247,0.004571,0.022781,0.063503,0.063503,0.063503,0.063503,0.063503,0.332515,0.036667,0.016677,0.016998,0.127773,calls/second,milliseconds
1610886153,115,4.382670,0.054639,0.004571,0.031509,0.049330,0.049964,0.061586,0.063503,0.298277,0.298277,0.034849,0.016677,0.016859,0.096290,calls/second,milliseconds
