t,value
1611387173,2555904
1611387473,2555904
1611387773,2555904
1611388073,2555904
1611388373,2555904
1611388673,2555904
1611388973,2555904
1611389273,2555904
1611389573,2555904
1611389873,2555904
1611390173,2555904
1611390473,2555904
1611390773,2555904
1611391073,2555904
1611391373,2555904
1611391673,2555904
1611391973,2555904
1611392273,2555904
1611392573,2555904
1611392873,2555904
1611393173,2555904
1611393473,2555904
1611393773,2555904
1611394073,2555904
1611394373,2555904
1611394673,2555904
1611394973,2555904
1611395273,2555904
1611395573,2555904
1611395873,2555904
1611396173,2555904
1611396473,2555904
1611396773,2555904
1611397073,2555904
1611397373,2555904
1611397673,2555904
1611397973,2555904
1611398273,2555904
1611398573,2555904
1611398873,2555904
1611399173,2555904
1611399473,2555904
1611399773,2555904
1611400073,2555904
1611400373,2555904
1611400673,2555904
1611400973,2555904
1611401273,2555904
1611401573,2555904
1611401873,2555904
1611402173,2555904
1611402473,2555904
1611402773,2555904
1611403073,2555904
1611403373,2555904
1611403673,2555904
1611403973,2555904
1611404273,2555904
1611404573,2555904
1611404873,2555904
1611405173,2555904
1611405473,2555904
1611405773,2555904
1611406073,2555904
1611406373,2555904
1611406673,2555904
1611406973,2555904
1611407273,2555904
1611407573,2555904
1611407873,2555904
1611408173,2555904
1611408473,2555904
1611408773,2555904
1611409073,2555904
1611409373,2555904
1611409673,2555904
1611409973,2555904
1611410273,2555904
1611410573,2555904
1611410873,2555904
1611411173,2555904
1611411473,2555904
1611411773,2555904
1611412073,2555904
1611412373,2555904
1611412673,2555904
1611412973,2555904
1611413273,2555904
1611413573,2555904
1611413873,2555904
1611414173,2555904
1611414473,2555904
1611414773,2555904
1611415073,2555904
1611415373,2555904
1611415673,2555904
1611415973,2555904
1611416273,2555904
1611416573,2555904
1611416873,2555904
1611417173,2555904
1611417473,2555904
1611417773,2555904
1611418073,2555904
1611418373,2555904
1611418673,2555904
1611418973,2555904
1611419273,2555904
1611419573,2555904
1611419873,2555904
1611420173,2555904
1611420473,2555904
1611420773,2555904
1611421073,2555904
1611421373,2555904
1611421673,2555904
1611421973,2555904
1611422273,2555904
1611422573,2555904
1611422873,2555904
1611423173,2555904
1611423473,2555904
1611423773,2555904
1611424073,2555904
1611424373,2555904
1611424673,2555904
1611424973,2555904
1611425273,2555904
1611425573,2555904
1611425873,2555904
1611426173,2555904
1611426473,2555904
1611426773,2555904
1611427073,2555904
1611427373,2555904
1611427673,2555904
1611427973,2555904
1611428273,2555904
1611428573,2555904
1611428873,2555904
1611429173,2555904
1611429473,2555904
1611429773,2555904
1611430073,2555904
1611430373,2555904
1611430673,2555904
1611430973,2555904
1611431273,2555904
1611431573,2555904
1611431873,2555904
1611432173,2555904
1611432473,2555904
1611432773,2555904
1611433073,2555904
1611433373,2555904
1611433673,2555904
1611433973,2555904
1611434273,2555904
1611434573,2555904
1611434873,2555904
1611435173,2555904
1611435473,2555904
1611435773,2555904
1611436073,2555904
1611436373,2555904
1611436673,2555904
1611436973,2555904
1611437273,2555904
1611437573,2555904
1611437873,2555904
1611438173,2555904
1611438473,2555904
1611438773,2555904
1611439073,2555904
1611439373,2555904
1611439673,2555904
1611439973,2555904
1611440273,2555904
1611440573,2555904
1611440873,2555904
1611441173,2555904
1611441473,2555904
1611441773,2555904
1611442073,2555904
1611442373,2555904
1611442673,2555904
1611442973,2555904
1611443273,2555904
1611443573,2555904
1611443873,2555904
1611444173,2555904
1611444473,2555904
1611444773,2555904
1611445073,2555904
1611445373,2555904
1611445673,2555904
1611445973,2555904
1611446273,2555904
1611446573,2555904
1611446873,2555904
1611447173,2555904
1611447473,2555904
1611447773,2555904
1611448073,2555904
1611448373,2555904
1611448673,2555904
1611448973,2555904
1611449273,2555904
1611449573,2555904
1611449873,2555904
1611450173,2555904
1611450473,2555904
1611450773,2555904
1611451073,2555904
1611451373,2555904
1611451673,2555904
1611451973,2555904
1611452273,2555904
1611452573,2555904
1611452873,2555904
1611453173,2555904
1611453473,2555904
1611453773,2555904
1611454073,2555904
1611454373,2555904
1611454673,2555904
1611454973,2555904
1611455273,2555904
1611455573,2555904
1611455873,2555904
1611456173,2555904
1611456473,2555904
1611456773,2555904
1611457073,2555904
1611457373,2555904
1611457673,2555904
1611457973,2555904
1611458273,2555904
1611458573,2555904
1611458873,2555904
1611459173,2555904
1611459473,2555904
1611459773,2555904
1611460073,2555904
1611460373,2555904
1611460673,2555904
1611460973,2555904
1611461273,2555904
1611461573,2555904
1611461873,2555904
1611462173,2555904
1611462473,2555904
1611462773,2555904
1611463073,2555904
1611463373,2555904
1611463673,2555904
1611463973,2555904
1611464273,2555904
1611464573,2555904
1611464873,2555904
1611465173,2555904
1611465473,2555904
1611465773,2555904
1611466073,2555904
1611466373,2555904
1611466673,2555904
1611466973,2555904
1611467273,2555904
1611467573,2555904
1611467873,2555904
1611468173,2555904
1611468473,2555904
1611468773,2555904
1611469073,2555904
1611469373,2555904
1611469673,2555904
1611469973,2555904
1611470273,2555904
1611470573,2555904
1611470873,2555904
1611471173,2555904
1611471473,2555904
1611471773,2555904
1611472073,2555904
1611472373,2555904
1611472673,2555904
1611472973,2555904
1611473273,2555904
1611473573,2555904
1611473873,2555904
1611474173,2555904
1611474473,2555904
1611474773,2555904
1611475073,2555904
1611475373,2555904
1611475673,2555904
1611475973,2555904
1611476273,2555904
1611476573,2555904
1611476873,2555904
1611477173,2555904
1611477473,2555904
1611477773,2555904
1611478073,2555904
1611478373,2555904
1611478673,2555904
1611478973,2555904
1611479273,2555904
1611479573,2555904
1611479873,2555904
1611480173,2555904
1611480473,2555904
1611480773,2555904
1611481073,2555904
1611481373,2555904
1611481673,2555904
1611481973,2555904
1611482273,2555904
1611482573,2555904
1611482873,2555904
1611483173,2555904
1611483473,2555904
1611483773,2555904
1611484073,2555904
1611484373,2555904
1611484673,2555904
1611484973,2555904
1611485273,2555904
1611485573,2555904
1611485873,2555904
1611486173,2555904
1611486473,2555904
1611486773,2555904
1611487073,2555904
1611487373,2555904
1611487673,2555904
1611487974,2555904
1611488273,2555904
1611488573,2555904
1611488873,2555904
1611489173,2555904
1611489473,2555904
1611489773,2555904
1611490073,2555904
1611490373,2555904
1611490673,2555904
1611490973,2555904
1611491273,2555904
1611491573,2555904
1611491873,2555904
1611492173,2555904
1611492473,2555904
