t,value
1611511908,0
1611512208,10024
1611512508,10024
1611512808,10024
1611513108,10024
1611513408,10024
1611513708,10024
1611514008,10024
1611514308,10024
1611514608,10024
1611514908,10024
1611515208,10024
1611515508,10024
1611515808,10024
1611516108,10024
1611516408,10024
1611516708,10024
1611517008,10024
1611517308,10024
1611517608,10024
1611517908,10024
1611518208,10024
1611518508,10024
1611518808,10024
1611519108,10024
1611519408,10024
1611519708,10024
1611520008,10024
1611520308,10024
1611520608,10024
1611520908,10024
1611521208,10024
1611521508,10024
1611521808,10024
1611522108,10024
1611522408,10024
1611522708,10024
1611523008,10024
1611523308,10024
1611523608,10024
1611523908,10024
1611524208,10024
1611524508,10024
1611524808,10024
1611525108,10024
1611525408,10024
1611525708,10024
1611526008,10024
1611526308,10024
1611526608,10024
1611526908,10024
1611527208,10024
1611527508,10024
1611527808,10024
1611528108,10024
1611528408,10024
1611528708,10024
1611529008,10024
1611529308,10024
1611529608,10024
1611529908,10024
1611530208,10024
1611530508,10024
1611530808,10024
1611531108,10024
1611531408,10024
1611531708,10024
1611532008,10024
1611532308,10024
1611532608,10024
1611532908,10024
1611533208,10024
1611533508,10024
1611533808,10024
1611534108,10024
1611534408,10024
1611534708,10024
1611535008,10024
1611535308,10024
1611535608,10024
1611535908,10024
1611536208,10024
1611536508,10024
1611536808,10024
1611537108,10024
1611537408,10024
1611537708,10024
1611538008,10024
1611538308,10024
1611538608,10024
1611538908,10024
1611539208,10024
1611539508,10024
1611539808,10024
1611540108,10024
1611540408,10024
1611540708,10024
1611541008,10024
1611541308,10024
1611541608,10024
1611541908,10024
1611542208,10024
1611542508,10024
1611542808,10024
1611543108,10024
1611543408,10024
1611543708,10024
1611544008,10024
1611544308,10024
1611544608,10024
1611544908,10024
1611545208,10024
1611545508,10024
1611545808,10024
1611546108,10024
1611546408,10024
1611546708,10024
1611547008,10024
1611547308,10024
1611547608,10024
1611547908,10024
1611548208,10024
1611548508,10024
1611548808,10024
1611549108,10024
1611549408,10024
1611549708,10024
1611550008,10024
1611550308,10024
1611550608,10024
1611550908,10024
1611551208,10024
1611551508,10024
1611551808,10024
1611552108,10024
1611552408,10024
1611552708,10024
1611553008,10024
1611553308,10024
1611553608,10024
1611553908,10024
1611554208,10024
1611554508,10024
1611554808,10024
1611555108,10024
1611555408,10024
1611555708,10024
1611556008,10024
1611556308,10024
1611556608,10024
1611556908,10024
1611557208,10024
1611557508,10024
1611557808,10024
1611558108,10024
1611558408,10024
1611558708,10024
1611559008,10024
1611559308,10024
1611559608,10024
1611559908,10024
1611560136,10024
1611560136,10024
