t,count
1611511908,0
1611512208,0
1611512508,0
1611512808,0
1611513108,0
1611513408,0
1611513708,0
1611514008,0
1611514308,0
1611514608,0
1611514908,0
1611515208,0
1611515508,0
1611515808,0
1611516108,0
1611516408,0
1611516708,0
1611517008,0
1611517308,0
1611517608,0
1611517908,0
1611518208,0
1611518508,0
1611518808,0
1611519108,0
1611519408,0
1611519708,0
1611520008,0
1611520308,0
1611520608,0
1611520908,0
1611521208,0
1611521508,0
1611521808,0
1611522108,0
1611522408,0
1611522708,0
1611523008,0
1611523308,0
1611523608,0
1611523908,0
1611524208,0
1611524508,0
1611524808,0
1611525108,0
1611525408,0
1611525708,0
1611526008,0
1611526308,0
1611526608,0
1611526908,0
1611527208,0
1611527508,0
1611527808,0
1611528108,0
1611528408,0
1611528708,0
1611529008,0
1611529308,0
1611529608,0
1611529908,0
1611530208,0
1611530508,0
1611530808,0
1611531108,0
1611531408,0
1611531708,0
1611532008,0
1611532308,0
1611532608,0
1611532908,0
1611533208,0
1611533508,0
1611533808,0
1611534108,0
1611534408,0
1611534708,0
1611535008,0
1611535308,0
1611535608,0
1611535908,0
1611536208,0
1611536508,0
1611536808,0
1611537108,0
1611537408,0
1611537708,0
1611538008,0
1611538308,0
1611538608,0
1611538908,0
1611539208,0
1611539508,0
1611539808,0
1611540108,0
1611540408,0
1611540708,0
1611541008,0
1611541308,0
1611541608,0
1611541908,0
1611542208,0
1611542508,0
1611542808,0
1611543108,0
1611543408,0
1611543708,0
1611544008,0
1611544308,0
1611544608,0
1611544908,0
1611545208,0
1611545508,0
1611545808,0
1611546108,0
1611546408,0
1611546708,0
1611547008,0
1611547308,0
1611547608,0
1611547908,0
1611548208,0
1611548508,0
1611548808,0
1611549108,0
1611549408,0
1611549708,0
1611550008,0
1611550308,0
1611550608,0
1611550908,0
1611551208,0
1611551508,0
1611551808,0
1611552108,0
1611552408,0
1611552708,0
1611553008,0
1611553308,0
1611553608,0
1611553908,0
1611554208,0
1611554508,0
1611554808,0
1611555108,0
1611555408,0
1611555708,0
1611556008,0
1611556308,0
1611556608,0
1611556908,0
1611557208,0
1611557508,0
1611557808,0
1611558108,0
1611558408,0
1611558708,0
1611559008,0
1611559308,0
1611559608,0
1611559908,0
1611560136,0
1611560136,0
