t,value
1611567233,8192
1611567533,8200
1611567833,8200
1611568133,8200
1611568433,8200
1611568733,8192
1611569033,8192
1611569333,8192
1611569633,8192
1611569933,8192
1611570233,8192
1611570533,8192
1611570833,8192
1611571133,8192
1611571433,8192
1611571733,8192
1611572033,8192
1611572333,8192
1611572633,8192
1611572933,8192
1611573233,8192
1611573533,8192
1611573833,8192
1611574133,8192
1611574433,8192
1611574733,8192
1611575033,8192
1611575333,8192
1611575633,8192
1611575933,8192
1611576233,8192
1611576533,8192
1611576833,8192
1611577133,8192
1611577433,8192
1611577733,8192
1611578033,8192
1611578333,8192
1611578633,8192
1611578933,8192
1611579233,8192
1611579533,8192
1611579833,8192
1611580133,8192
1611580433,8192
1611580733,8192
1611581033,8192
1611581333,8192
1611581633,8192
1611581933,8192
1611582233,8192
1611582533,8192
1611582833,8192
1611583133,8192
1611583433,8192
1611583733,8192
1611584033,8192
1611584333,8192
1611584633,8192
1611584933,8192
1611585233,8192
1611585533,8192
1611585833,8192
1611586133,8192
1611586433,8192
1611586733,8192
1611587033,8192
1611587333,8192
1611587633,8192
1611587933,8192
1611588233,8192
1611588533,8192
1611588833,8192
1611589133,8192
1611589433,8192
1611589733,8192
1611590033,8192
1611590333,8192
1611590633,8192
1611590933,8192
1611591233,8192
1611591533,8192
1611591833,8192
1611592133,8192
1611592433,8192
1611592733,8192
1611593033,8192
1611593333,8192
1611593633,8192
1611593933,8192
1611594233,8192
1611594533,8192
1611594833,8192
1611595133,8192
1611595433,8192
1611595733,8192
1611596033,8192
1611596333,8192
1611596633,8192
1611596933,8192
1611597233,8192
1611597533,8192
1611597833,8192
1611598133,8192
1611598433,8192
1611598733,8192
1611599033,8192
1611599333,8192
1611599633,8192
1611599933,8192
1611600233,8192
1611600533,8192
1611600833,8192
1611601133,8192
1611601433,8192
1611601733,8192
1611602033,8192
1611602333,8192
1611602633,8192
1611602933,8192
1611603233,8192
1611603533,8192
1611603833,8192
1611604133,8192
1611604433,8192
1611604733,8192
1611605033,8192
1611605333,8192
1611605633,8192
1611605933,8192
1611606233,8192
1611606533,8192
1611606833,8192
1611607133,8192
1611607433,8192
1611607733,8192
1611608033,8192
1611608333,8192
1611608633,8192
1611608933,8192
1611609233,8192
1611609533,8192
1611609834,8192
1611610133,8192
1611610433,8192
1611610733,8192
1611611033,8192
1611611333,8192
1611611633,8192
1611611933,8192
1611612233,8192
1611612533,8192
1611612833,8192
1611613133,8192
1611613433,8192
1611613733,8192
1611614033,8192
1611614333,8192
1611614633,8192
1611614933,8192
1611615233,8192
1611615533,8192
1611615833,8192
1611616133,8192
1611616433,8192
1611616733,8192
1611617033,8192
1611617333,8192
1611617633,8192
1611617933,8192
1611618233,8192
1611618533,8192
1611618833,8192
1611619133,8192
1611619433,8192
1611619733,8192
1611620033,8192
1611620333,8192
1611620633,8192
1611620933,8192
1611621233,8192
1611621533,8192
1611621833,8192
1611622133,8192
1611622433,8192
1611622733,8192
1611623033,8192
1611623333,8192
1611623633,8192
1611623933,8192
1611624233,8192
1611624533,8192
1611624833,8192
1611625133,8192
1611625433,8192
1611625733,8192
1611626033,8192
1611626333,8192
1611626633,8192
1611626933,8192
1611627233,8192
1611627533,8192
1611627833,8192
1611628133,8192
1611628433,8192
1611628733,8192
1611629033,8192
1611629333,8192
1611629633,8192
1611629933,8192
1611630233,8192
1611630533,8192
1611630833,8192
1611631133,8192
1611631433,8192
1611631733,8192
1611632033,8192
1611632333,8192
1611632633,8192
1611632933,8192
1611633233,8192
1611633533,8192
1611633833,8192
1611634133,8192
1611634433,8192
1611634733,8192
1611635033,8192
1611635333,8192
1611635633,8192
1611635933,8192
1611636233,8192
1611636533,8192
1611636833,8192
1611637133,8192
1611637433,8192
1611637733,8192
1611638033,8192
1611638333,8192
1611638633,8192
1611638933,8192
1611639233,8192
1611639533,8192
1611639833,8192
1611640133,8192
1611640433,8192
1611640733,8192
1611641033,8192
1611641333,8192
1611641633,8192
1611641933,8192
1611642233,8192
1611642533,8192
1611642833,8192
1611643133,8192
1611643433,8192
1611643733,8192
1611644033,8192
1611644333,8192
1611644633,8192
1611644933,8192
1611645233,8192
1611645533,8192
1611645833,8192
1611646133,8192
1611646433,8192
1611646733,8192
1611647033,8192
1611647333,8192
1611647633,8192
1611647933,8192
1611648233,8192
1611648533,8192
1611648833,8192
1611649133,8192
1611649433,8192
1611649733,8192
1611650033,8192
1611650333,8192
1611650633,8192
1611650933,8192
1611651233,8192
1611651533,8192
1611651833,8192
1611652133,8192
1611652433,8192
1611652733,8192
1611653033,8192
1611653333,8192
1611653633,8192
1611653933,8192
1611654233,8192
1611654533,8192
1611654833,8192
1611655133,8192
1611655433,8192
1611655733,8192
1611656033,8192
1611656333,8192
1611656633,8192
1611656933,8192
1611657233,8192
1611657533,8192
1611657833,8192
1611658133,8192
1611658433,8192
1611658733,8192
1611659033,8192
1611659333,8192
1611659633,8192
1611659933,8192
1611660233,8192
1611660533,8192
1611660833,8192
1611661133,8192
1611661433,8192
1611661733,8192
1611662033,8192
1611662333,8192
1611662633,8192
1611662933,8192
1611663233,8192
1611663533,8192
1611663833,8192
1611664133,8192
1611664433,8192
1611664733,8192
1611665033,8192
1611665333,8192
1611665633,8192
1611665933,8192
1611666233,8192
1611666533,8192
1611666833,8192
1611667133,8192
1611667433,8192
1611667733,8192
1611668033,8192
1611668333,8192
1611668633,8192
1611668933,8192
1611669233,8192
1611669533,8192
1611669833,8192
1611670133,8192
1611670433,8192
1611670733,8192
1611671033,8192
1611671333,8192
1611671633,8192
1611671933,8192
1611672233,8192
1611672533,8192
1611672833,8192
1611673133,8192
1611673433,8192
1611673733,8192
1611674033,8192
1611674333,8192
1611674633,8192
1611674933,8192
1611675233,8192
1611675533,8192
1611675833,8192
1611676133,8192
1611676433,8192
1611676733,8192
1611677033,8192
1611677333,8192
1611677633,8192
1611677933,8192
1611678233,8192
1611678533,8192
1611678833,8192
1611679133,8192
1611679433,8192
1611679733,8192
1611680033,8192
1611680333,8192
1611680633,8192
1611680933,8192
1611681233,8192
1611681533,8192
1611681833,8192
1611682133,8192
1611682433,8192
1611682733,8192
1611683033,8192
1611683333,8192
1611683633,8192
1611683933,8192
1611684233,8192
1611684533,8192
1611684833,8192
1611685133,8192
1611685433,8192
1611685733,8192
1611686033,8192
1611686333,8192
1611686633,8192
1611686933,8192
1611687233,8192
1611687533,8192
1611687833,8192
1611688133,8192
1611688433,8192
1611688733,8192
1611689033,8192
1611689333,8192
1611689633,8192
1611689933,8192
1611690233,8192
1611690533,8192
1611690833,8192
1611691133,8192
1611691433,8192
1611691733,8192
1611692033,8192
1611692333,8192
1611692633,8192
1611692933,8192
1611693233,8192
1611693533,8192
1611693833,8192
1611694133,8192
1611694433,8192
1611694733,8192
1611695033,8192
1611695333,8192
1611695633,8192
1611695933,8192
1611696233,8192
1611696533,8192
1611696833,8192
1611697134,8192
1611697433,8192
1611697733,8192
1611698033,8192
1611698333,8192
1611698633,8192
1611698933,8192
1611699233,8192
1611699533,8192
1611699833,8192
1611700133,8192
1611700433,8192
1611700733,8192
1611701033,8192
1611701333,8192
1611701633,8192
1611701933,8192
1611702233,8192
1611702533,8192
1611702833,8192
1611703133,8192
1611703433,8192
1611703733,8192
1611704033,8192
1611704333,8192
1611704633,8192
1611704933,8192
1611705233,8192
1611705533,8192
1611705833,8192
1611706133,8192
1611706433,8192
1611706733,8192
1611707033,8192
1611707334,8192
1611707633,8192
1611707933,8192
1611708233,8192
1611708533,8192
1611708833,8192
1611709133,8192
1611709433,8192
1611709733,8192
1611710033,8192
1611710333,8192
1611710633,8192
1611710933,8192
1611711234,8192
1611711533,8192
1611711833,8192
1611712133,8192
1611712433,8192
1611712733,8192
1611713033,8192
1611713333,8192
1611713633,8192
1611713933,8192
1611714233,8192
1611714533,8192
1611714833,8192
1611715133,8192
1611715433,8192
1611715733,8192
1611716033,8192
1611716333,8192
1611716633,8192
1611716933,8192
1611717233,8192
1611717533,8192
1611717833,8192
1611718133,8192
1611718433,8192
1611718733,8192
1611719033,8192
1611719333,8192
1611719633,8192
1611719933,8192
1611720233,8192
1611720533,8192
1611720833,8192
1611721133,8192
1611721433,8192
1611721733,8192
1611722033,8192
1611722333,8192
1611722633,8192
1611722933,8192
1611723233,8192
1611723533,8192
1611723833,8192
1611724133,8192
1611724433,8192
1611724733,8192
1611725033,8192
1611725333,8192
1611725633,8192
1611725933,8192
1611726233,8192
1611726533,8192
1611726833,8192
1611727133,8192
1611727433,8192
1611727733,8192
1611728033,8192
1611728333,8192
1611728633,8192
1611728933,8192
1611729233,8192
1611729533,8192
1611729833,8192
1611730133,8192
1611730433,8192
1611730733,8192
1611731033,8192
1611731333,8192
1611731633,8192
1611731933,8192
