t,value
1611737887,322122547200
1611738187,322122547200
1611738487,322122547200
1611738787,322122547200
1611739087,322122547200
1611739387,322122547200
1611739687,322122547200
1611739987,322122547200
1611740287,322122547200
1611740587,322122547200
1611740887,322122547200
1611741187,322122547200
1611741487,322122547200
1611741787,322122547200
1611742087,322122547200
1611742387,322122547200
1611742687,322122547200
1611742987,322122547200
1611743287,322122547200
1611743587,322122547200
1611743887,322122547200
1611744187,322122547200
1611744487,322122547200
1611744787,322122547200
1611745087,322122547200
1611745387,322122547200
1611745687,322122547200
1611745987,322122547200
1611746287,322122547200
1611746587,322122547200
1611746887,322122547200
1611747187,322122547200
1611747487,322122547200
1611747787,322122547200
1611748087,322122547200
1611748387,322122547200
1611748687,322122547200
1611748987,322122547200
1611749287,322122547200
1611749587,322122547200
1611749887,322122547200
1611750187,322122547200
1611750487,322122547200
1611750787,322122547200
1611751087,322122547200
1611751387,322122547200
1611751687,322122547200
1611751987,322122547200
1611752287,322122547200
1611752587,322122547200
1611752887,322122547200
1611753187,322122547200
1611753487,322122547200
1611753787,322122547200
1611754087,322122547200
1611754387,322122547200
1611754687,322122547200
1611754987,322122547200
1611755287,322122547200
1611755587,322122547200
1611755887,322122547200
1611756187,322122547200
1611756487,322122547200
1611756787,322122547200
1611757087,322122547200
1611757387,322122547200
1611757687,322122547200
1611757987,322122547200
1611758287,322122547200
1611758587,322122547200
1611758887,322122547200
1611759187,322122547200
1611759487,322122547200
1611759787,322122547200
1611760087,322122547200
1611760387,322122547200
1611760687,322122547200
1611760987,322122547200
1611761287,322122547200
1611761587,322122547200
1611761887,322122547200
1611762187,322122547200
1611762487,322122547200
1611762787,322122547200
1611763087,322122547200
1611763387,322122547200
1611763687,322122547200
1611763987,322122547200
1611764287,322122547200
1611764587,322122547200
1611764887,322122547200
1611765187,322122547200
1611765487,322122547200
1611765787,322122547200
1611766087,322122547200
1611766387,322122547200
1611766687,322122547200
1611766987,322122547200
1611767287,322122547200
1611767587,322122547200
1611767887,322122547200
1611768187,322122547200
1611768487,322122547200
1611768787,322122547200
1611769087,322122547200
1611769387,322122547200
1611769687,322122547200
1611769987,322122547200
1611770287,322122547200
1611770587,322122547200
1611770618,322122547200
1611770618,322122547200
