t,value
1611737887,1174405120
1611738187,771751936
1611738487,1879048192
1611738787,1879048192
1611739087,1879048192
1611739387,268435456
1611739687,369098752
1611739987,369098752
1611740287,369098752
1611740587,335544320
1611740887,369098752
1611741187,369098752
1611741487,33554432
1611741787,33554432
1611742087,33554432
1611742387,33554432
1611742687,33554432
1611742987,33554432
1611743287,33554432
1611743587,33554432
1611743887,33554432
1611744187,33554432
1611744487,33554432
1611744787,33554432
1611745087,33554432
1611745387,134217728
1611745687,134217728
1611745987,134217728
1611746287,134217728
1611746587,134217728
1611746887,134217728
1611747187,134217728
1611747487,134217728
1611747787,134217728
1611748087,134217728
1611748387,134217728
1611748687,234881024
1611748987,234881024
1611749287,234881024
1611749587,234881024
1611749887,335544320
1611750187,335544320
1611750487,234881024
1611750787,335544320
1611751087,335544320
1611751387,234881024
1611751687,234881024
1611751987,134217728
1611752287,134217728
1611752587,134217728
1611752887,33554432
1611753187,33554432
1611753487,33554432
1611753787,33554432
1611754087,33554432
1611754387,33554432
1611754687,33554432
1611754987,33554432
1611755287,33554432
1611755587,33554432
1611755887,33554432
1611756187,33554432
1611756487,33554432
1611756787,33554432
1611757087,33554432
1611757387,33554432
1611757687,33554432
1611757987,33554432
1611758287,33554432
1611758587,33554432
1611758887,33554432
1611759187,234881024
1611759487,234881024
1611759787,234881024
1611760087,234881024
1611760387,234881024
1611760687,234881024
1611760987,234881024
1611761287,234881024
1611761587,234881024
1611761887,234881024
1611762187,335544320
1611762487,436207616
1611762787,469762048
1611763087,469762048
1611763387,234881024
1611763687,234881024
1611763987,201326592
1611764287,134217728
1611764587,33554432
1611764887,33554432
1611765187,33554432
1611765487,134217728
1611765787,134217728
1611766087,134217728
1611766387,134217728
1611766687,134217728
1611766987,134217728
1611767287,234881024
1611767587,234881024
1611767887,335544320
1611768187,436207616
1611768487,335544320
1611768787,335544320
1611769087,335544320
1611769387,469762048
1611769687,335544320
1611769987,335544320
1611770287,234881024
1611770587,536870912
1611770618,536870912
1611770618,536870912
