t,value
1611783144,193620696
1611783444,193663536
1611783744,193664184
1611784044,193664184
1611784344,193667160
1611784644,193667160
1611784944,193667160
1611785244,193667160
1611785544,193667160
1611785844,193667160
1611786144,193667160
1611786444,193667160
1611786744,193667160
1611787044,193667160
1611787344,193667160
1611787644,193667160
1611787944,193667160
1611788244,193667160
1611788544,193667160
1611788844,193667160
1611789144,193667160
1611789444,193667160
1611789744,193667160
1611790044,193667160
1611790344,193667160
1611790644,193667160
1611790944,193667160
1611791244,193667160
1611791546,193667160
1611791844,193667160
1611792144,193667160
1611792444,193667160
1611792744,193667160
1611793044,193667160
1611793344,193667160
1611793644,193667160
1611793944,193667160
1611794244,193667160
1611794544,193667160
1611794844,193667160
1611795144,193667160
1611795446,193667160
1611795744,193667160
1611796044,193667160
1611796344,193667160
1611796644,193667160
1611796944,193667160
1611797244,193667160
1611797544,193667160
1611797844,193667160
1611798144,193667160
1611798444,193667160
1611798744,193667160
1611799044,193667160
1611799344,193667160
1611799644,193667160
1611799944,193667160
1611800244,193667160
1611800544,193667160
1611800844,193667160
1611801144,193667160
1611801444,193667160
1611801744,193667160
1611802044,193667160
1611802344,193667160
1611802644,193667160
1611802944,193667160
1611803244,193667160
1611803544,193667160
1611803844,193667160
1611804144,193667160
1611804444,193667160
1611804744,193667160
1611805044,193667160
1611805344,193667160
1611805644,193667160
1611805944,193667160
1611806244,193667160
1611806544,193667160
1611806844,193667160
1611807144,193667160
1611807444,193667160
1611807744,193667160
1611808044,193667160
1611808344,193667160
1611808644,193667160
1611808944,193667160
1611809244,193667160
1611809544,193667160
1611809844,193667160
1611810144,193667160
1611810444,193667160
1611810744,193667160
1611811044,193667160
1611811344,193667160
1611811644,193667160
1611811944,193667160
1611812244,193667160
1611812544,193667160
1611812844,193667160
1611813144,193667160
1611813444,193667160
1611813744,193667160
1611814044,193667160
1611814344,193667160
1611814644,193667160
1611814944,193667160
1611815244,193667160
1611815544,193667160
1611815844,193667160
1611816144,193667160
1611816444,193667160
1611816744,193667160
1611817044,193667160
1611817344,193667160
1611817644,193667160
1611817944,193667160
1611818018,193694200
1611818018,193694200
