t,value
1611818399,-1
1611818699,-1
1611818999,-1
1611819299,-1
1611819599,-1
1611819899,-1
1611820199,-1
1611820499,-1
1611820799,-1
1611821099,-1
1611821399,-1
1611821699,-1
1611821999,-1
1611822299,-1
1611822599,-1
1611822899,-1
1611823199,-1
1611823499,-1
1611823799,-1
1611824099,-1
1611824399,-1
1611824699,-1
1611824999,-1
1611825299,-1
1611825599,-1
1611825899,-1
1611826199,-1
1611826499,-1
1611826799,-1
1611827099,-1
1611827399,-1
1611827699,-1
1611827999,-1
1611828299,-1
1611828599,-1
1611828899,-1
1611829199,-1
1611829499,-1
1611829799,-1
1611830099,-1
1611830399,-1
1611830699,-1
1611830999,-1
1611831299,-1
1611831599,-1
1611831899,-1
1611832199,-1
1611832499,-1
1611832799,-1
1611833099,-1
1611833399,-1
1611833699,-1
1611833999,-1
1611834299,-1
1611834599,-1
1611834899,-1
1611835199,-1
1611835499,-1
1611835799,-1
1611835838,-1
1611835838,-1
