t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1607784521,19,5.313652,0.132841,0.001243,0.651598,0.014853,0.014853,0.509525,0.914075,5.313652,5.313652,0.063336,0.020916,0.327607,0.592456,calls/second,milliseconds
1607784821,51,5.313652,0.529902,0.001243,0.738110,0.077027,0.925615,1.803067,3.082174,3.082174,3.082174,0.085002,0.244700,0.207812,0.457638,calls/second,milliseconds
1607785121,73,5.313652,0.210123,0.001243,0.528015,0.014004,0.045042,1.327191,1.805357,3.082174,3.356514,0.081112,0.017678,0.109348,0.346510,calls/second,milliseconds
1607785421,78,5.313652,0.009990,0.001243,0.073723,0.007289,0.007289,0.015510,0.015510,0.015510,1.152173,0.065001,0.013020,0.050315,0.252944,calls/second,milliseconds
1607785721,83,5.313652,0.002678,0.001071,0.008169,0.001947,0.001947,0.009611,0.009611,0.009611,0.015510,0.055334,0.012988,0.028599,0.185900,calls/second,milliseconds
1607786021,88,5.313652,0.004326,0.001071,0.004290,0.001939,0.007035,0.011684,0.011684,0.011684,0.011684,0.048468,0.009306,0.019280,0.134832,calls/second,milliseconds
1607786321,98,5.313652,0.008987,0.001071,0.005004,0.013437,0.013437,0.013437,0.013437,0.013437,0.013437,0.046667,0.013818,0.024301,0.107527,calls/second,milliseconds
1607786621,103,5.313652,0.007934,0.001071,0.004006,0.010169,0.010169,0.012502,0.012502,0.012502,0.013437,0.042917,0.012994,0.019029,0.081705,calls/second,milliseconds
1607786921,108,5.313652,0.008773,0.001071,0.003861,0.010997,0.010997,0.012748,0.012748,0.012748,0.012748,0.040000,0.012988,0.017089,0.063203,calls/second,milliseconds
1607787221,113,5.313652,0.014513,0.001071,0.008624,0.021080,0.021080,0.021080,0.021080,0.021080,0.021080,0.037667,0.012988,0.016375,0.049945,calls/second,milliseconds
1607787521,118,5.313652,0.006871,0.001071,0.004237,0.007906,0.007906,0.015677,0.015677,0.015677,0.021080,0.035758,0.012988,0.016113,0.040446,calls/second,milliseconds
1607787821,123,5.313652,0.004379,0.001071,0.003683,0.002106,0.008869,0.010360,0.010360,0.010360,0.015677,0.034167,0.012988,0.016016,0.033639,calls/second,milliseconds
1607788121,128,5.313652,0.009055,0.001071,0.004360,0.012144,0.012144,0.012144,0.012144,0.012144,0.012144,0.032821,0.012988,0.015981,0.028762,calls/second,milliseconds
1607788421,133,5.313652,0.008090,0.001071,0.003380,0.009892,0.009892,0.011189,0.011189,0.011189,0.012144,0.031667,0.012988,0.015968,0.025267,calls/second,milliseconds
1607788485,138,5.313652,0.639470,0.001071,0.652645,0.163799,1.373608,1.430854,1.430854,1.430854,1.430854,0.032361,0.011950,0.015702,0.024561,calls/second,milliseconds
1607788486,138,5.313652,0.639470,0.001071,0.652645,0.163799,1.373608,1.430854,1.430854,1.430854,1.430854,0.032361,0.011950,0.015702,0.024561,calls/second,milliseconds
