t,value
1608109348,134217728
1608109648,134217728
1608109948,134217728
1608110248,134217728
1608110548,134217728
1608110848,134217728
1608111148,134217728
1608111448,134217728
1608111748,134217728
1608112048,134217728
1608112348,134217728
1608112648,134217728
1608112948,134217728
1608113248,134217728
1608113548,134217728
1608113848,134217728
1608114148,134217728
1608114448,134217728
1608114748,134217728
1608115048,134217728
1608115348,134217728
1608115648,134217728
1608115948,134217728
1608116248,134217728
1608116548,134217728
1608116848,134217728
1608117148,134217728
1608117448,134217728
1608117748,134217728
1608118048,134217728
1608118348,134217728
1608118648,134217728
1608118948,134217728
1608119248,134217728
1608119548,134217728
1608119848,134217728
1608120148,134217728
1608120448,134217728
1608120748,134217728
1608121048,134217728
1608121348,134217728
1608121648,134217728
1608121948,134217728
1608122248,134217728
1608122548,134217728
1608122848,134217728
1608123148,134217728
1608123448,134217728
1608123748,134217728
1608124048,134217728
1608124348,134217728
1608124648,134217728
1608124948,134217728
1608125248,134217728
1608125548,134217728
1608125848,134217728
1608126148,134217728
1608126448,134217728
1608126748,134217728
1608127048,134217728
1608127348,134217728
1608127648,134217728
1608127948,134217728
1608128248,134217728
1608128548,134217728
1608128848,134217728
1608129148,134217728
1608129448,134217728
1608129748,134217728
1608130048,134217728
1608130348,134217728
1608130648,134217728
1608130948,134217728
1608131248,134217728
1608131548,134217728
1608131848,134217728
1608132148,134217728
1608132448,134217728
1608132748,134217728
1608133048,134217728
1608133348,134217728
1608133648,134217728
1608133948,134217728
1608134248,134217728
1608134548,134217728
1608134848,134217728
1608135148,134217728
1608135448,134217728
1608135748,134217728
1608136048,134217728
1608136348,134217728
1608136648,134217728
1608136948,134217728
1608137248,134217728
1608137548,134217728
1608137848,134217728
1608138148,134217728
1608138448,134217728
1608138748,134217728
1608139048,134217728
1608139348,134217728
1608139648,134217728
1608139948,134217728
1608140248,134217728
1608140548,134217728
1608140848,134217728
1608141148,134217728
1608141448,134217728
1608141748,134217728
1608142048,134217728
1608142348,134217728
1608142648,134217728
1608142948,134217728
1608143248,134217728
1608143548,134217728
1608143848,134217728
1608144148,134217728
1608144448,134217728
1608144748,134217728
1608145048,134217728
1608145348,134217728
1608145648,134217728
1608145948,134217728
1608146248,134217728
1608146548,134217728
1608146848,134217728
1608147148,134217728
1608147448,134217728
1608147748,134217728
1608148048,134217728
1608148348,134217728
1608148648,134217728
1608148948,134217728
1608149248,134217728
1608149548,134217728
1608149848,134217728
1608150148,134217728
1608150448,134217728
1608150748,134217728
1608151048,134217728
1608151348,134217728
1608151648,134217728
1608151948,134217728
1608152248,134217728
1608152417,134217728
1608152417,134217728
