t,value
1608199407,920602
1608199707,920602
1608200007,920602
1608200307,920602
1608200607,920602
1608200907,920602
1608201207,927147
1608201507,927147
1608201807,927147
1608202107,927147
1608202407,927147
1608202707,927147
1608203007,932418
1608203307,932418
1608203607,932418
1608203907,932418
1608204207,932418
1608204507,932418
1608204807,937614
1608205107,937614
1608205407,937614
1608205707,937614
1608206007,937614
1608206307,937614
1608206607,942096
1608206907,942096
1608207207,942096
1608207507,942096
1608207807,942096
1608208107,942096
1608208407,946872
1608208707,946872
1608209007,946872
1608209307,946872
1608209607,946872
1608209907,946872
1608210207,951883
1608210507,951883
1608210807,951883
1608211107,951883
1608211407,951883
1608211707,951883
1608212007,956553
1608212307,956553
1608212607,956553
1608212907,956553
1608213207,956553
1608213507,956553
1608213807,961101
1608214107,961101
1608214407,961101
1608214707,961101
1608215007,961101
1608215307,961101
1608215607,965885
1608215907,965885
1608216207,965885
1608216507,965885
1608216807,965885
1608217107,965885
1608217407,970829
1608217707,970829
1608218007,970829
1608218307,970829
1608218607,970829
1608218907,970829
1608219207,975597
1608219507,975597
1608219807,975597
1608220107,975597
1608220407,975597
1608220707,975597
1608221007,980649
1608221307,980649
1608221607,980649
1608221907,980649
1608222207,980649
1608222507,980649
1608222807,985252
1608223107,985252
1608223407,985252
1608223707,985252
1608224007,985252
1608224307,985252
1608224607,990140
1608224907,990140
1608225207,990140
1608225507,990140
1608225807,990140
1608226107,990140
1608226407,994945
1608226707,994945
1608227007,994945
1608227307,994945
1608227607,994945
1608227907,994945
1608228207,999550
1608228507,999550
1608228807,999550
1608229107,999550
1608229407,999550
1608229707,999550
1608230007,1004479
1608230307,1004479
1608230607,1004479
1608230907,1004479
1608231207,1004479
1608231507,1004479
1608231807,1009260
1608232107,1009260
1608232407,1009260
1608232707,1009260
1608233007,1009260
1608233307,1009260
1608233607,1014057
1608233907,1014057
1608234207,1014057
1608234507,1014057
1608234807,1014057
1608235107,1014057
1608235407,1019020
1608235707,1019020
1608236007,1019020
1608236307,1019020
1608236607,1019020
1608236907,1019020
1608237207,1023437
1608237507,1023437
1608237807,1023437
1608238107,1023437
1608238407,1023437
1608238707,1023437
1608239007,1028247
1608239307,1028247
1608239607,1028247
1608239907,1028247
1608240207,1028247
1608240507,1028247
1608240807,1033087
1608241107,1033087
1608241146,1033087
1608241146,1033087
