t,value
1608199407,322122547200
1608199707,322122547200
1608200007,322122547200
1608200307,322122547200
1608200607,322122547200
1608200907,322122547200
1608201207,322122547200
1608201507,322122547200
1608201807,322122547200
1608202107,322122547200
1608202407,322122547200
1608202707,322122547200
1608203007,322122547200
1608203307,322122547200
1608203607,322122547200
1608203907,322122547200
1608204207,322122547200
1608204507,322122547200
1608204807,322122547200
1608205107,322122547200
1608205407,322122547200
1608205707,322122547200
1608206007,322122547200
1608206307,322122547200
1608206607,322122547200
1608206907,322122547200
1608207207,322122547200
1608207507,322122547200
1608207807,322122547200
1608208107,322122547200
1608208407,322122547200
1608208707,322122547200
1608209007,322122547200
1608209307,322122547200
1608209607,322122547200
1608209907,322122547200
1608210207,322122547200
1608210507,322122547200
1608210807,322122547200
1608211107,322122547200
1608211407,322122547200
1608211707,322122547200
1608212007,322122547200
1608212307,322122547200
1608212607,322122547200
1608212907,322122547200
1608213207,322122547200
1608213507,322122547200
1608213807,322122547200
1608214107,322122547200
1608214407,322122547200
1608214707,322122547200
1608215007,322122547200
1608215307,322122547200
1608215607,322122547200
1608215907,322122547200
1608216207,322122547200
1608216507,322122547200
1608216807,322122547200
1608217107,322122547200
1608217407,322122547200
1608217707,322122547200
1608218007,322122547200
1608218307,322122547200
1608218607,322122547200
1608218907,322122547200
1608219207,322122547200
1608219507,322122547200
1608219807,322122547200
1608220107,322122547200
1608220407,322122547200
1608220707,322122547200
1608221007,322122547200
1608221307,322122547200
1608221607,322122547200
1608221907,322122547200
1608222207,322122547200
1608222507,322122547200
1608222807,322122547200
1608223107,322122547200
1608223407,322122547200
1608223707,322122547200
1608224007,322122547200
1608224307,322122547200
1608224607,322122547200
1608224907,322122547200
1608225207,322122547200
1608225507,322122547200
1608225807,322122547200
1608226107,322122547200
1608226407,322122547200
1608226707,322122547200
1608227007,322122547200
1608227307,322122547200
1608227607,322122547200
1608227907,322122547200
1608228207,322122547200
1608228507,322122547200
1608228807,322122547200
1608229107,322122547200
1608229407,322122547200
1608229707,322122547200
1608230007,322122547200
1608230307,322122547200
1608230607,322122547200
1608230907,322122547200
1608231207,322122547200
1608231507,322122547200
1608231807,322122547200
1608232107,322122547200
1608232407,322122547200
1608232707,322122547200
1608233007,322122547200
1608233307,322122547200
1608233607,322122547200
1608233907,322122547200
1608234207,322122547200
1608234507,322122547200
1608234807,322122547200
1608235107,322122547200
1608235407,322122547200
1608235707,322122547200
1608236007,322122547200
1608236307,322122547200
1608236607,322122547200
1608236907,322122547200
1608237207,322122547200
1608237507,322122547200
1608237807,322122547200
1608238107,322122547200
1608238407,322122547200
1608238707,322122547200
1608239007,322122547200
1608239307,322122547200
1608239607,322122547200
1608239907,322122547200
1608240207,322122547200
1608240507,322122547200
1608240807,322122547200
1608241107,322122547200
1608241146,322122547200
1608241146,322122547200
