t,value
1608384682,0
1608384982,0
1608385282,0
1608385582,0
1608385882,0
1608386182,0
1608386482,0
1608386782,0
1608387082,0
1608387382,0
1608387682,0
1608387982,0
1608388282,0
1608388582,0
1608388882,0
1608389182,0
1608389482,0
1608389782,0
1608390082,0
1608390382,0
1608390682,0
1608390982,0
1608391282,0
1608391582,0
1608391882,0
1608392182,0
1608392482,0
1608392782,0
1608393082,0
1608393382,0
1608393682,0
1608393982,0
1608394282,0
1608394582,0
1608394882,0
1608395182,0
1608395482,0
1608395782,0
1608396082,0
1608396382,0
1608396682,0
1608396982,0
1608397282,0
1608397582,0
1608397882,0
1608398182,0
1608398482,0
1608398782,0
1608399082,0
1608399382,0
1608399682,0
1608399982,0
1608400282,0
1608400582,0
1608400882,0
1608401182,0
1608401482,0
1608401782,0
1608402082,0
1608402382,0
1608402682,0
1608402982,0
1608403282,0
1608403582,0
1608403882,0
1608404182,0
1608404482,0
1608404782,0
1608405082,0
1608405382,0
1608405682,0
1608405982,0
1608406282,0
1608406582,0
1608406882,0
1608407182,0
1608407482,0
1608407782,0
1608408082,0
1608408382,0
1608408682,0
1608408982,0
1608409192,0
1608409192,0
