t,count
1608409953,0
1608410253,0
1608410553,0
1608410853,0
1608411153,0
1608411453,0
1608411753,0
1608412053,0
1608412353,0
1608412653,0
1608412953,0
1608413253,0
1608413553,0
1608413853,0
1608414153,0
1608414453,0
1608414753,0
1608415053,0
1608415353,0
1608415653,0
1608415953,0
1608416253,0
1608416553,0
1608416853,0
1608417153,0
1608417453,0
1608417753,0
1608418053,0
1608418353,0
1608418653,0
1608418953,0
1608419253,0
1608419553,0
1608419853,0
1608420153,0
1608420453,0
1608420753,0
1608421053,0
1608421353,0
1608421653,0
1608421953,0
1608422253,0
1608422553,0
1608422853,0
1608423153,0
1608423453,0
1608423753,0
1608424053,0
1608424353,0
1608424653,0
1608424953,0
1608425253,0
1608425553,0
1608425853,0
1608426153,0
1608426453,0
1608426753,0
1608427053,0
1608427353,0
1608427653,0
1608427953,0
1608428253,0
1608428553,0
1608428853,0
1608429153,0
1608429453,0
1608429753,0
1608430053,0
1608430353,0
1608430653,0
1608430953,0
1608431253,0
1608431553,0
1608431795,0
1608431795,0
