t,value
1608432503,8192
1608432803,8192
1608433103,8192
1608433403,8192
1608433703,8192
1608434003,8192
1608434303,8192
1608434603,8192
1608434903,8192
1608435203,8192
1608435503,8192
1608435803,8192
1608436103,8192
1608436403,8192
1608436703,8192
1608437003,8192
1608437303,8192
1608437603,8192
1608437903,8192
1608438203,8192
1608438503,8192
1608438803,8192
1608439103,8192
1608439403,8192
1608439703,8192
1608440003,8192
1608440303,8192
1608440603,8192
1608440903,8192
1608441203,8192
1608441503,8192
1608441803,8192
1608442103,8192
1608442403,8192
1608442703,8192
1608443003,8192
1608443303,8192
1608443603,8192
1608443903,8192
1608444203,8192
1608444503,8192
1608444803,8192
1608445103,8192
1608445403,8192
1608445703,8192
1608446003,8192
1608446303,8192
1608446603,8192
1608446903,8192
1608447203,8192
1608447503,8192
1608447803,8192
1608448103,8192
1608448403,8192
1608448703,8192
1608449003,8192
1608449303,8192
1608449603,8192
1608449903,8192
1608450203,8192
1608450503,8192
1608450803,8192
1608451103,8192
1608451403,8192
1608451489,8192
1608451489,8192
