t,value
1608481718,2282
1608482018,2282
1608482318,2282
1608482618,2282
1608482918,2282
1608483218,2282
1608483518,2282
1608483818,2282
1608484118,2282
1608484418,2282
1608484718,2282
1608485018,2282
1608485318,2282
1608485618,2282
1608485918,2282
1608486218,2282
1608486518,2282
1608486818,2282
1608487118,2282
1608487418,2282
1608487718,2282
1608488018,2282
1608488318,2282
1608488618,2282
1608488918,2282
1608489218,2282
1608489518,2282
1608489818,2282
1608490118,2282
1608490418,2282
1608490718,2282
1608491018,2282
1608491310,2282
1608491310,2282
