t,value
1609139944,129087475712
1609140244,129087475712
1609140544,129087475712
1609140844,129087475712
1609141144,129087475712
1609141444,129087475712
1609141744,48791719936
1609142044,48791719936
1609142344,48791719936
1609142644,48791719936
1609142944,48791719936
1609143244,48791719936
1609143544,48556838912
1609143844,48556838912
1609144144,48556838912
1609144444,48556838912
1609144744,48556838912
1609145044,48556838912
1609145344,48456175616
1609145644,48456175616
1609145944,48456175616
1609146244,48456175616
1609146544,48456175616
1609146844,48456175616
1609147144,48456175616
1609147444,48456175616
1609147744,48456175616
1609148044,48456175616
1609148344,48456175616
1609148644,48456175616
1609148944,48456175616
1609149244,48456241152
1609149544,48456241152
1609149844,48456241152
1609150144,48456241152
1609150444,48456241152
1609150744,48221360128
1609151044,48221360128
1609151344,48221360128
1609151644,48221360128
1609151944,48221360128
1609152244,48221360128
1609152544,48221360128
1609152844,48221360128
1609153144,48221360128
1609153444,48221360128
1609153744,48221360128
1609154044,48221360128
1609154344,48221360128
1609154644,48221360128
1609154944,48221360128
1609155244,48221360128
1609155544,48221360128
1609155844,48221360128
1609156144,48221360128
1609156444,48221360128
1609156744,48221360128
1609157044,48221360128
1609157344,48221360128
1609157644,48221360128
1609157944,48221360128
1609158244,48221360128
1609158544,48221360128
1609158844,48221360128
1609159144,48221360128
1609159444,48221360128
1609159744,48221360128
1609160044,48221360128
1609160344,48221360128
1609160644,48221360128
1609160944,48221360128
1609161244,48221360128
1609161544,48221360128
1609161844,48221360128
1609162144,48221360128
1609162444,48221360128
1609162744,48221360128
1609163044,48221360128
1609163344,48221360128
1609163644,48221360128
1609163944,48221360128
1609164244,48221360128
1609164544,48221360128
1609164844,48221360128
1609165144,48221360128
1609165444,48221360128
1609165744,48221360128
1609166044,48221360128
1609166344,48221360128
1609166644,48221360128
1609166944,48221360128
1609167244,48221360128
1609167544,48221360128
1609167844,48221360128
1609168144,48221360128
1609168444,48221360128
1609168744,48221360128
1609169044,48221360128
1609169344,48221360128
1609169402,48221360128
1609169402,48221360128
