t,count
1609197022,0
1609197322,0
1609197622,0
1609197922,0
1609198222,0
1609198522,0
1609198822,0
1609199122,0
1609199422,0
1609199722,0
1609200022,0
1609200322,0
1609200622,0
1609200922,0
1609201222,0
1609201522,0
1609201822,0
1609202122,0
1609202422,0
1609202722,0
1609203022,0
1609203322,0
1609203622,0
1609203922,0
1609204222,0
1609204522,0
1609204822,0
1609205122,0
1609205422,0
1609205722,0
1609206022,0
1609206322,0
1609206622,0
1609206922,0
1609207222,0
1609207522,0
1609207822,0
1609208122,0
1609208422,0
1609208722,0
1609209022,0
1609209322,0
1609209622,0
1609209922,0
1609210222,0
1609210522,0
1609210822,0
1609211122,0
1609211422,0
1609211722,0
1609212022,0
1609212322,0
1609212622,0
1609212922,0
1609213222,0
1609213522,0
1609213822,0
1609214122,0
1609214422,0
1609214722,0
1609215022,0
1609215322,0
1609215622,0
1609215922,0
1609216222,0
1609216522,0
1609216822,0
1609217122,0
1609217422,0
1609217722,0
1609218022,0
1609218322,0
1609218622,0
1609218922,0
1609219222,0
1609219522,0
1609219822,0
1609219902,0
1609219902,0
