t,value
1609197022,104119402496
1609197322,104119402496
1609197622,104119402496
1609197922,104119402496
1609198222,104119402496
1609198522,104119402496
1609198822,44962938880
1609199122,44962938880
1609199422,44962938880
1609199722,44962938880
1609200022,44962938880
1609200322,44962938880
1609200622,44627394560
1609200922,44627394560
1609201222,44627394560
1609201522,44627394560
1609201822,44627394560
1609202122,44627394560
1609202422,44426067968
1609202722,44426067968
1609203022,44426067968
1609203322,44426067968
1609203622,44426067968
1609203922,44426067968
1609204222,44426067968
1609204522,44426067968
1609204822,44426067968
1609205122,44426067968
1609205422,44426067968
1609205722,44426067968
1609206022,44426067968
1609206322,44426067968
1609206622,44426067968
1609206922,44426067968
1609207222,44426067968
1609207522,44426067968
1609207822,44291850240
1609208122,44291850240
1609208422,44291850240
1609208722,44291850240
1609209022,44291850240
1609209322,44291850240
1609209622,44291850240
1609209922,44291850240
1609210222,44291850240
1609210522,44291850240
1609210822,44291850240
1609211122,44291850240
1609211422,44291850240
1609211722,44291850240
1609212022,44291850240
1609212322,44291850240
1609212622,44291850240
1609212922,44291850240
1609213222,44291850240
1609213522,44291850240
1609213822,44291850240
1609214122,44291850240
1609214422,44291850240
1609214722,44291850240
1609215022,44291850240
1609215322,44291850240
1609215622,44291850240
1609215922,44291850240
1609216222,44291850240
1609216522,44291850240
1609216822,44191186944
1609217122,44191186944
1609217422,44191186944
1609217722,44191186944
1609218022,44191186944
1609218322,44191186944
1609218622,44191186944
1609218922,44191186944
1609219222,44191186944
1609219522,44191186944
1609219822,44191186944
1609219902,44191186944
1609219902,44191186944
