t,value
1609220541,1.0
1609220841,1.0
1609221141,1.0
1609221441,1.0
1609221741,1.0
1609222041,1.0
1609222341,1.0
1609222641,1.0
1609222941,1.0
1609223241,1.0
1609223541,1.0
1609223841,1.0
1609224141,1.0
1609224441,1.0
1609224741,1.0
1609225041,1.0
1609225341,1.0
1609225641,1.0
1609225941,1.0
1609226241,1.0
1609226541,1.0
1609226841,1.0
1609227141,1.0
1609227441,1.0
1609227741,1.0
1609228041,1.0
1609228341,1.0
1609228641,1.0
1609228941,1.0
1609229241,1.0
1609229541,1.0
1609229841,1.0
1609230141,1.0
1609230441,1.0
1609230741,1.0
1609231041,1.0
1609231341,1.0
1609231641,1.0
1609231941,1.0
1609232241,1.0
1609232541,1.0
1609232841,1.0
1609233141,1.0
1609233441,1.0
1609233741,1.0
1609234041,1.0
1609234341,1.0
1609234641,1.0
1609234941,1.0
1609235241,1.0
1609235541,1.0
1609235841,1.0
1609236141,1.0
1609236441,1.0
1609236741,1.0
1609237041,1.0
1609237341,1.0
1609237641,1.0
1609237941,1.0
1609238241,1.0
1609238541,1.0
1609238841,1.0
1609239141,1.0
1609239441,1.0
1609239741,1.0
1609239954,1.0
1609239954,1.0
