t,value
1609240541,0
1609240841,0
1609241141,0
1609241441,0
1609241741,0
1609242041,0
1609242341,0
1609242641,0
1609242941,0
1609243241,0
1609243541,0
1609243841,0
1609244141,0
1609244441,0
1609244741,0
1609245041,0
1609245341,0
1609245641,0
1609245941,0
1609246241,0
1609246541,0
1609246841,0
1609247141,0
1609247441,0
1609247741,0
1609248041,0
1609248341,0
1609248641,0
1609248941,0
1609249241,0
1609249541,0
1609249841,0
1609250141,0
1609250441,0
1609250741,0
1609251041,0
1609251341,0
1609251641,0
1609251941,0
1609252241,0
1609252541,0
1609252841,0
1609253141,0
1609253441,0
1609253741,0
1609254041,0
1609254341,0
1609254641,0
1609254941,0
1609255241,0
1609255541,0
1609255578,0
1609255578,0
