t,value
1609256113,190049
1609256413,190049
1609256713,190049
1609257013,190049
1609257313,190049
1609257613,190049
1609257913,190049
1609258213,190049
1609258513,190049
1609258813,190049
1609259113,190049
1609259413,190049
1609259713,190049
1609260013,190049
1609260313,190049
1609260613,190049
1609260913,190049
1609261213,190049
1609261513,190049
1609261813,190049
1609262113,190049
1609262413,190049
1609262713,190049
1609263013,190049
1609263313,190049
1609263613,190049
1609263913,190049
1609264213,190049
1609264513,190049
1609264813,190049
1609265113,190049
1609265413,190049
1609265713,190049
1609266013,190049
1609266313,190049
1609266613,190049
1609266913,190049
1609267213,190049
1609267513,190049
1609267747,190049
1609267747,190049
