t,value
1609256113,224040040
1609256413,224044904
1609256713,224044904
1609257013,223983976
1609257313,223983976
1609257613,223983976
1609257913,223984744
1609258213,223984744
1609258513,223984744
1609258813,223984744
1609259113,223984744
1609259413,223984744
1609259713,223984744
1609260013,223984744
1609260313,223984744
1609260613,223984744
1609260913,223984744
1609261213,223984744
1609261513,223984744
1609261813,223984744
1609262113,223984744
1609262413,223984744
1609262713,223984744
1609263013,223984744
1609263313,223984744
1609263613,223984744
1609263913,223984744
1609264213,223984744
1609264513,223984744
1609264813,223984744
1609265113,223984744
1609265413,223984744
1609265713,223984744
1609266013,223984744
1609266313,223984744
1609266613,223984744
1609266913,223984744
1609267213,223984744
1609267513,223984744
1609267747,223984744
1609267747,223984744
