t,value
1609498078,1320989
1609498378,1336505
1609498678,1341113
1609498978,1341967
1609499278,1342832
1609499578,1343911
1609499878,1344684
1609500178,1345159
1609500478,1345442
1609500778,1345521
1609501078,1345624
1609501378,1345740
1609501678,1345799
1609501978,1345858
1609502278,1345998
1609502578,1346062
1609502878,1346203
1609503178,1346270
1609503478,1346324
1609503778,1346383
1609504078,1346415
1609504378,1346489
1609504678,1346547
1609504978,1346618
1609505278,1346657
1609505578,1346722
1609505878,1346805
1609506178,1346861
1609506478,1346973
1609506778,1347035
1609507078,1347095
1609507378,1347146
1609507678,1347203
1609507978,1347235
1609508278,1347334
1609508578,1347374
1609508878,1347434
1609509178,1347512
1609509478,1347568
1609509778,1347636
1609510078,1347775
1609510378,1347849
1609510678,1347898
1609510978,1347973
1609511278,1348027
1609511578,1348094
1609511878,1348237
1609512178,1348308
1609512478,1348381
1609512778,1348454
1609513078,1348523
1609513378,1348601
1609513678,1348718
1609513978,1348790
1609514278,1348839
1609514578,1348858
1609514878,1348876
1609515178,1348924
1609515478,1349000
1609515778,1349047
1609516078,1349067
1609516378,1349130
1609516678,1349156
1609516978,1349211
1609517278,1349302
1609517578,1349325
1609517878,1349384
1609518178,1349450
1609518478,1349490
1609518778,1349551
1609519078,1349660
1609519378,1349688
1609519678,1349744
1609519978,1349801
1609520278,1349852
1609520578,1349907
1609520878,1349993
1609521178,1350048
1609521478,1350112
1609521778,1350179
1609522078,1350229
1609522378,1350279
1609522678,1350374
1609522978,1350439
1609523278,1350497
1609523578,1350549
1609523878,1350568
1609524178,1350615
1609524478,1350667
1609524778,1350696
1609525078,1350753
1609525378,1350783
1609525678,1350838
1609525978,1350879
1609526278,1350952
1609526578,1351000
1609526878,1351057
1609527178,1351101
1609527478,1351147
1609527778,1351181
1609528078,1351280
1609528378,1351323
1609528678,1351384
1609528978,1351428
1609529278,1351468
1609529578,1351512
1609529878,1351630
1609530178,1351668
1609530478,1351714
1609530778,1351737
1609531078,1351771
1609531378,1351801
1609531678,1351882
1609531978,1351929
1609532278,1351978
1609532578,1351992
1609532878,1352011
1609533178,1352062
1609533478,1352163
1609533778,1352184
1609534078,1352240
1609534378,1352300
1609534678,1352359
1609534978,1352415
1609535278,1352536
1609535578,1352569
1609535878,1352639
1609536178,1352697
1609536478,1352758
1609536778,1352826
1609537078,1352962
1609537378,1353022
1609537678,1353088
1609537978,1353157
1609538278,1353223
1609538578,1353253
1609538878,1353383
1609539178,1353416
1609539478,1353446
1609539778,1353498
1609540078,1353555
1609540378,1353577
1609540678,1353647
1609540978,1353699
1609541278,1353755
1609541578,1353799
1609541878,1353817
1609542178,1353838
1609542478,1353932
1609542778,1353959
1609543078,1354007
1609543378,1354047
1609543678,1354102
1609543978,1354156
1609544278,1354259
1609544578,1354306
1609544878,1354362
1609545178,1354386
1609545478,1354424
1609545778,1354480
1609546078,1354589
1609546378,1354646
1609546678,1354695
1609546978,1354731
1609547278,1354778
1609547578,1354831
1609547878,1354940
1609548178,1354995
1609548277,1354995
1609548278,1354995
