t,value
1609498078,236937216
1609498378,237002752
1609498678,237002752
1609498978,237002752
1609499278,237002752
1609499578,237002752
1609499878,237002752
1609500178,237002752
1609500478,237002752
1609500778,237002752
1609501078,237002752
1609501378,237002752
1609501678,237002752
1609501978,237068288
1609502278,237068288
1609502578,237068288
1609502878,237068288
1609503178,237068288
1609503478,237068288
1609503778,237068288
1609504078,237068288
1609504378,237068288
1609504678,237068288
1609504978,237068288
1609505278,237068288
1609505578,237068288
1609505878,237068288
1609506178,237068288
1609506478,237068288
1609506778,237068288
1609507078,237068288
1609507378,237068288
1609507678,237068288
1609507978,237068288
1609508278,237068288
1609508578,237068288
1609508878,237068288
1609509178,237068288
1609509478,237068288
1609509778,237068288
1609510078,237068288
1609510378,237068288
1609510678,237068288
1609510978,237068288
1609511278,237068288
1609511578,237068288
1609511878,237068288
1609512178,237068288
1609512478,237068288
1609512778,237068288
1609513078,237068288
1609513378,237068288
1609513678,237068288
1609513978,237068288
1609514278,237068288
1609514578,237068288
1609514878,237068288
1609515178,237068288
1609515478,237068288
1609515778,237068288
1609516078,237068288
1609516378,237068288
1609516678,237068288
1609516978,237068288
1609517278,237068288
1609517578,237068288
1609517878,237068288
1609518178,237068288
1609518478,237068288
1609518778,237068288
1609519078,237068288
1609519378,237068288
1609519678,237068288
1609519978,237068288
1609520278,237068288
1609520578,237068288
1609520878,237068288
1609521178,237068288
1609521478,237068288
1609521778,237068288
1609522078,237068288
1609522378,237068288
1609522678,237068288
1609522978,237068288
1609523278,237068288
1609523578,237068288
1609523878,237068288
1609524178,237068288
1609524478,237068288
1609524778,237068288
1609525078,237068288
1609525378,237068288
1609525678,237068288
1609525978,237068288
1609526278,237068288
1609526578,237068288
1609526878,237068288
1609527178,237068288
1609527478,237068288
1609527778,237068288
1609528078,237068288
1609528378,237068288
1609528678,237068288
1609528978,237068288
1609529278,237068288
1609529578,237068288
1609529878,237068288
1609530178,237068288
1609530478,237068288
1609530778,237068288
1609531078,237068288
1609531378,237068288
1609531678,237068288
1609531978,237068288
1609532278,237068288
1609532578,237068288
1609532878,237068288
1609533178,237068288
1609533478,237068288
1609533778,237068288
1609534078,237068288
1609534378,237068288
1609534678,237068288
1609534978,237068288
1609535278,237068288
1609535578,237068288
1609535878,237068288
1609536178,237068288
1609536478,237068288
1609536778,237068288
1609537078,237068288
1609537378,237068288
1609537678,237068288
1609537978,237068288
1609538278,237068288
1609538578,237068288
1609538878,237068288
1609539178,237068288
1609539478,237068288
1609539778,237068288
1609540078,237068288
1609540378,237068288
1609540678,237068288
1609540978,237068288
1609541278,237068288
1609541578,237068288
1609541878,237068288
1609542178,237068288
1609542478,237068288
1609542778,237068288
1609543078,237068288
1609543378,237133824
1609543678,237133824
1609543978,237133824
1609544278,237133824
1609544578,237133824
1609544878,237133824
1609545178,237133824
1609545478,237133824
1609545778,237133824
1609546078,237133824
1609546378,237133824
1609546678,237133824
1609546978,237133824
1609547278,237133824
1609547578,237133824
1609547878,237133824
1609548178,237133824
1609548277,237133824
1609548278,237133824
