t,value
1609598133,122032128
1609598433,122032128
1609598733,122032128
1609599033,122032128
1609599333,122032128
1609599633,122032128
1609599933,122032128
1609600233,122032128
1609600533,122032128
1609600833,122032128
1609601133,122032128
1609601433,122032128
1609601733,122032128
1609602033,122032128
1609602333,122032128
1609602633,122032128
1609602933,122032128
1609603233,122032128
1609603533,122032128
1609603833,122032128
1609604133,122032128
1609604433,122032128
1609604733,122032128
1609605033,122032128
1609605333,122032128
1609605633,122032128
1609605933,122032128
1609606233,122032128
1609606533,122032128
1609606833,122032128
1609607133,122032128
1609607433,122032128
1609607733,122032128
1609608033,122032128
1609608333,122032128
1609608633,122032128
1609608933,122032128
1609609233,122032128
1609609533,122032128
1609609833,122032128
1609610133,122032128
1609610433,122032128
1609610733,122032128
1609611033,122032128
1609611333,122032128
1609611633,122032128
1609611933,122032128
1609612233,122032128
1609612533,122032128
1609612833,122032128
1609613133,122032128
1609613433,122032128
1609613733,122032128
1609614033,122032128
1609614333,122032128
1609614633,122032128
1609614933,122032128
1609615233,122032128
1609615533,122032128
1609615833,122032128
1609616133,122032128
1609616433,122032128
1609616733,122032128
1609617033,122032128
1609617333,122032128
1609617633,122032128
1609617933,122032128
1609618233,122032128
1609618533,122032128
1609618833,122032128
1609619133,122032128
1609619433,122032128
1609619733,122032128
1609620033,122032128
1609620333,122032128
1609620633,122032128
1609620933,122032128
1609621233,122032128
1609621533,122032128
1609621833,122032128
1609622133,122032128
1609622433,122032128
1609622733,122032128
1609623033,122032128
1609623333,122032128
1609623633,122032128
1609623933,122032128
1609624233,122032128
1609624533,122032128
1609624833,122032128
1609625133,122032128
1609625433,122032128
1609625733,122032128
1609626033,122032128
1609626333,122032128
1609626633,122032128
1609626933,122032128
1609627233,122032128
1609627533,122032128
1609627833,122032128
1609628133,122032128
1609628433,122032128
1609628733,122032128
1609629033,122032128
1609629333,122032128
1609629633,122032128
1609629933,122032128
1609630233,122032128
1609630533,122032128
1609630833,122032128
1609631133,122032128
1609631433,122032128
1609631733,122032128
1609632033,122032128
1609632333,122032128
1609632633,122032128
1609632933,122032128
1609633233,122032128
1609633533,122032128
1609633833,122032128
1609634133,122032128
1609634433,122032128
1609634733,122032128
1609635033,122032128
1609635333,122032128
1609635633,122032128
1609635933,122032128
1609636233,122032128
1609636533,122032128
1609636833,122032128
1609637133,122032128
1609637433,122032128
1609637733,122032128
1609638033,122032128
1609638333,122032128
1609638633,122032128
1609638933,122032128
1609639233,122032128
1609639533,122032128
1609639833,122032128
1609640133,122032128
1609640433,122032128
1609640733,122032128
1609641033,122032128
1609641333,122032128
1609641633,122032128
1609641933,122032128
1609642233,122032128
1609642533,122032128
1609642804,122032128
1609642804,122032128
