t,value
1609598133,122028032
1609598433,122028032
1609598733,122028032
1609599033,122028032
1609599333,122028032
1609599633,122028032
1609599933,122028032
1609600233,122028032
1609600533,122028032
1609600833,122028032
1609601133,122028032
1609601433,122028032
1609601733,122028032
1609602033,122028032
1609602333,122028032
1609602633,122028032
1609602933,122028032
1609603233,122028032
1609603533,122028032
1609603833,122028032
1609604133,122028032
1609604433,122028032
1609604733,122028032
1609605033,122028032
1609605333,122028032
1609605633,122028032
1609605933,122028032
1609606233,122028032
1609606533,122028032
1609606833,122028032
1609607133,122028032
1609607433,122028032
1609607733,122028032
1609608033,122028032
1609608333,122028032
1609608633,122028032
1609608933,122028032
1609609233,122028032
1609609533,122028032
1609609833,122028032
1609610133,122028032
1609610433,122028032
1609610733,122028032
1609611033,122028032
1609611333,122028032
1609611633,122028032
1609611933,122028032
1609612233,122028032
1609612533,122028032
1609612833,122028032
1609613133,122028032
1609613433,122028032
1609613733,122028032
1609614033,122028032
1609614333,122028032
1609614633,122028032
1609614933,122028032
1609615233,122028032
1609615533,122028032
1609615833,122028032
1609616133,122028032
1609616433,122028032
1609616733,122028032
1609617033,122028032
1609617333,122028032
1609617633,122028032
1609617933,122028032
1609618233,122028032
1609618533,122028032
1609618833,122028032
1609619133,122028032
1609619433,122028032
1609619733,122028032
1609620033,122028032
1609620333,122028032
1609620633,122028032
1609620933,122028032
1609621233,122028032
1609621533,122028032
1609621833,122028032
1609622133,122028032
1609622433,122028032
1609622733,122028032
1609623033,122028032
1609623333,122028032
1609623633,122028032
1609623933,122028032
1609624233,122028032
1609624533,122028032
1609624833,122028032
1609625133,122028032
1609625433,122028032
1609625733,122028032
1609626033,122028032
1609626333,122028032
1609626633,122028032
1609626933,122028032
1609627233,122028032
1609627533,122028032
1609627833,122028032
1609628133,122028032
1609628433,122028032
1609628733,122028032
1609629033,122028032
1609629333,122028032
1609629633,122028032
1609629933,122028032
1609630233,122028032
1609630533,122028032
1609630833,122028032
1609631133,122028032
1609631433,122028032
1609631733,122028032
1609632033,122028032
1609632333,122028032
1609632633,122028032
1609632933,122028032
1609633233,122028032
1609633533,122028032
1609633833,122028032
1609634133,122028032
1609634433,122028032
1609634733,122028032
1609635033,122028032
1609635333,122028032
1609635633,122028032
1609635933,122028032
1609636233,122028032
1609636533,122028032
1609636833,122028032
1609637133,122028032
1609637433,122028032
1609637733,122028032
1609638033,122028032
1609638333,122028032
1609638633,122028032
1609638933,122028032
1609639233,122028032
1609639533,122028032
1609639833,122028032
1609640133,122028032
1609640433,122028032
1609640733,122028032
1609641033,122028032
1609641333,122028032
1609641633,122028032
1609641933,122028032
1609642233,122028032
1609642533,122028032
1609642804,122028032
1609642804,122028032
