t,value
1609644083,7667712
1609644383,7667712
1609644683,7667712
1609644983,7667712
1609645283,7667712
1609645583,7667712
1609645883,7667712
1609646183,7667712
1609646483,7667712
1609646783,7667712
1609647083,7667712
1609647383,7667712
1609647683,7667712
1609647983,7667712
1609648283,7667712
1609648583,7667712
1609648883,7667712
1609649183,7667712
1609649483,7667712
1609649783,7667712
1609650083,7667712
1609650383,7667712
1609650683,7667712
1609650983,7667712
1609651283,7667712
1609651583,7667712
1609651883,7667712
1609652183,7667712
1609652483,7667712
1609652783,7667712
1609653083,7667712
1609653383,7667712
1609653683,7667712
1609653983,7667712
1609654283,7667712
1609654583,7667712
1609654883,7667712
1609655183,7667712
1609655483,7667712
1609655783,7667712
1609656083,7667712
1609656383,7667712
1609656683,7667712
1609656983,7667712
1609657283,7667712
1609657583,7667712
1609657883,7667712
1609658183,7667712
1609658483,7667712
1609658783,7667712
1609659083,7667712
1609659383,7667712
1609659683,7667712
1609659983,7667712
1609660283,7667712
1609660583,7667712
1609660883,7667712
1609661183,7667712
1609661483,7667712
1609661783,7667712
1609662083,7667712
1609662383,7667712
1609662683,7667712
1609662983,7667712
1609663283,7667712
1609663583,7667712
1609663883,7667712
1609664183,7667712
1609664483,7667712
1609664783,7667712
1609665083,7667712
1609665383,7667712
1609665683,7667712
1609665983,7667712
1609666283,7667712
1609666583,7667712
1609666883,7667712
1609667183,7667712
1609667483,7667712
1609667783,7667712
1609668083,7667712
1609668383,7667712
1609668683,7667712
1609668983,7667712
1609669283,7667712
1609669583,7667712
1609669883,7667712
1609670183,7667712
1609670483,7667712
1609670783,7667712
1609671083,7667712
1609671383,7667712
1609671683,7667712
1609671983,7667712
1609672283,7667712
1609672583,7667712
1609672883,7667712
1609673183,7667712
1609673483,7667712
1609673783,7667712
1609674083,7667712
1609674383,7667712
1609674683,7667712
1609674983,7667712
1609675283,7667712
1609675583,7667712
1609675883,7667712
1609676183,7667712
1609676483,7667712
1609676783,7667712
1609677083,7667712
1609677383,7667712
1609677683,7667712
1609677983,7667712
1609678283,7667712
1609678583,7667712
1609678883,7667712
1609679183,7667712
1609679483,7667712
1609679783,7667712
1609680083,7667712
1609680383,7667712
1609680683,7667712
1609680983,7667712
1609681283,7667712
1609681583,7667712
1609681883,7667712
1609682183,7667712
1609682483,7667712
1609682783,7667712
1609683083,7667712
1609683383,7667712
1609683683,7667712
1609683983,7667712
1609684283,7667712
1609684583,7667712
1609684883,7667712
1609685183,7667712
1609685483,7667712
1609685783,7667712
1609686083,7667712
1609686297,7667712
1609686297,7667712
