t,value
1609644083,838860800
1609644383,1241513984
1609644683,637534208
1609644983,570425344
1609645283,603979776
1609645583,67108864
1609645883,67108864
1609646183,33554432
1609646483,33554432
1609646783,33554432
1609647083,67108864
1609647383,67108864
1609647683,67108864
1609647983,67108864
1609648283,67108864
1609648583,67108864
1609648883,67108864
1609649183,33554432
1609649483,33554432
1609649783,33554432
1609650083,33554432
1609650383,67108864
1609650683,67108864
1609650983,33554432
1609651283,100663296
1609651583,100663296
1609651883,100663296
1609652183,100663296
1609652483,67108864
1609652783,100663296
1609653083,33554432
1609653383,67108864
1609653683,67108864
1609653983,67108864
1609654283,67108864
1609654583,33554432
1609654883,67108864
1609655183,33554432
1609655483,67108864
1609655783,33554432
1609656083,67108864
1609656383,67108864
1609656683,67108864
1609656983,100663296
1609657283,100663296
1609657583,100663296
1609657883,100663296
1609658183,100663296
1609658483,67108864
1609658783,67108864
1609659083,67108864
1609659383,67108864
1609659683,33554432
1609659983,67108864
1609660283,100663296
1609660583,100663296
1609660883,67108864
1609661183,67108864
1609661483,100663296
1609661783,100663296
1609662083,67108864
1609662383,100663296
1609662683,100663296
1609662983,67108864
1609663283,67108864
1609663583,100663296
1609663883,100663296
1609664183,100663296
1609664483,100663296
1609664783,67108864
1609665083,67108864
1609665383,100663296
1609665683,67108864
1609665983,67108864
1609666283,33554432
1609666583,33554432
1609666883,33554432
1609667183,67108864
1609667483,33554432
1609667783,33554432
1609668083,67108864
1609668383,67108864
1609668683,67108864
1609668983,33554432
1609669283,67108864
1609669583,100663296
1609669883,67108864
1609670183,100663296
1609670483,67108864
1609670783,67108864
1609671083,67108864
1609671383,67108864
1609671683,67108864
1609671983,33554432
1609672283,33554432
1609672583,67108864
1609672883,67108864
1609673183,33554432
1609673483,67108864
1609673783,67108864
1609674083,67108864
1609674383,67108864
1609674683,33554432
1609674983,33554432
1609675283,67108864
1609675583,33554432
1609675883,33554432
1609676183,67108864
1609676483,33554432
1609676783,67108864
1609677083,67108864
1609677383,67108864
1609677683,33554432
1609677983,67108864
1609678283,67108864
1609678583,33554432
1609678883,33554432
1609679183,67108864
1609679483,67108864
1609679783,33554432
1609680083,67108864
1609680383,67108864
1609680683,67108864
1609680983,67108864
1609681283,67108864
1609681583,67108864
1609681883,67108864
1609682183,67108864
1609682483,33554432
1609682783,67108864
1609683083,67108864
1609683383,33554432
1609683683,67108864
1609683983,67108864
1609684283,67108864
1609684583,67108864
1609684883,33554432
1609685183,67108864
1609685483,67108864
1609685783,67108864
1609686083,67108864
1609686297,67108864
1609686297,67108864
