t,value
1609867105,7598080
1609867405,7598080
1609867705,7598080
1609868005,7598080
1609868305,7598080
1609868605,7598080
1609868905,7598080
1609869205,7598080
1609869505,7598080
1609869805,7598080
1609870105,7598080
1609870405,7598080
1609870705,7598080
1609871005,7598080
1609871305,7598080
1609871605,7598080
1609871905,7598080
1609872205,7598080
1609872505,7598080
1609872805,7598080
1609873105,7598080
1609873405,7598080
1609873705,7598080
1609874005,7598080
1609874305,7598080
1609874605,7598080
1609874905,7598080
1609875205,7598080
1609875505,7598080
1609875805,7598080
1609876105,7598080
1609876405,7598080
1609876705,7598080
1609877005,7598080
1609877305,7598080
1609877605,7598080
1609877905,7598080
1609878205,7598080
1609878505,7598080
1609878805,7598080
1609879105,7598080
1609879405,7598080
1609879705,7598080
1609880005,7598080
1609880305,7598080
1609880605,7598080
1609880905,7598080
1609881205,7598080
1609881505,7598080
1609881805,7598080
1609882105,7598080
1609882405,7598080
1609882705,7598080
1609883005,7598080
1609883305,7598080
1609883605,7598080
1609883905,7598080
1609884205,7598080
1609884505,7598080
1609884805,7598080
1609885105,7598080
1609885405,7598080
1609885705,7598080
1609886005,7598080
1609886305,7598080
1609886605,7598080
1609886905,7598080
1609887205,7598080
1609887505,7598080
1609887805,7598080
1609888105,7598080
1609888405,7598080
1609888705,7598080
1609889005,7598080
1609889305,7598080
1609889605,7598080
1609889905,7598080
1609890205,7598080
1609890505,7598080
1609890805,7598080
1609891105,7598080
1609891209,7598080
1609891209,7598080
