t,value
1609892073,1
1609892373,1
1609892673,1
1609892973,1
1609893273,1
1609893573,1
1609893873,1
1609894173,1
1609894473,1
1609894773,1
1609895073,1
1609895373,1
1609895673,1
1609895973,1
1609896273,1
1609896573,1
1609896873,1
1609897173,1
1609897473,1
1609897773,1
1609898073,1
1609898373,1
1609898673,1
1609898973,1
1609899273,1
1609899573,1
1609899873,1
1609900173,1
1609900473,1
1609900773,1
1609901073,1
1609901373,1
1609901673,1
1609901973,1
1609902273,1
1609902573,1
1609902873,1
1609903173,1
1609903473,1
1609903773,1
1609904073,1
1609904373,1
1609904673,1
1609904973,1
1609905273,1
1609905573,1
1609905873,1
1609906173,1
1609906473,1
1609906773,1
1609907073,1
1609907373,1
1609907673,1
1609907973,1
1609908273,1
1609908573,1
1609908873,1
1609909173,1
1609909473,1
1609909773,1
1609910073,1
1609910373,1
1609910673,1
1609910973,1
1609911273,1
1609911573,1
1609911873,1
1609912173,1
1609912473,1
1609912773,1
1609913073,1
1609913247,1
1609913247,1
