t,value
1609964638,41746432
1609964938,41746432
1609965238,41746432
1609965538,41746432
1609965838,41746432
1609966138,41746432
1609966438,41746432
1609966738,41746432
1609967038,41746432
1609967338,41746432
1609967638,41746432
1609967938,41746432
1609968238,41746432
1609968538,41746432
1609968838,41746432
1609969138,41746432
1609969438,41746432
1609969738,41746432
1609970038,41746432
1609970338,41746432
1609970638,41746432
1609970938,41746432
1609971238,41746432
1609971538,41746432
1609971838,41746432
1609972138,41746432
1609972438,41746432
1609972738,41746432
1609973038,41746432
1609973338,41746432
1609973638,41746432
1609973938,41746432
1609974238,41746432
1609974538,41746432
1609974838,41746432
1609975016,41746432
1609975016,41746432
