t,value
1610084932,322122547199
1610085232,322122547199
1610085532,322122547199
1610085832,322122547199
1610086132,322122547199
1610086432,322122547199
1610086732,322122547199
1610087032,322122547199
1610087332,322122547199
1610087632,322122547199
1610087932,322122547199
1610088232,322122547199
1610088532,322122547199
1610088832,322122547199
1610089132,322122547199
1610089432,322122547199
1610089732,322122547199
1610090032,322122547199
1610090332,322122547199
1610090632,322122547199
1610090932,322122547199
1610091232,322122547199
1610091532,322122547199
1610091832,322122547199
1610092132,322122547199
1610092432,322122547199
1610092732,322122547199
1610093032,322122547199
1610093332,322122547199
1610093632,322122547199
1610093932,322122547199
1610094232,322122547199
1610094532,322122547199
1610094832,322122547199
1610095132,322122547199
1610095432,322122547199
1610095732,322122547199
1610096032,322122547199
1610096332,322122547199
1610096632,322122547199
1610096932,322122547199
1610097232,322122547199
1610097532,322122547199
1610097832,322122547199
1610098132,322122547199
1610098432,322122547199
1610098732,322122547199
1610099032,322122547199
1610099332,322122547199
1610099632,322122547199
1610099932,322122547199
1610100232,322122547199
1610100532,322122547199
1610100832,322122547199
1610101132,322122547199
1610101432,322122547199
1610101732,322122547199
1610102032,322122547199
1610102332,322122547199
1610102632,322122547199
1610102932,322122547199
1610103232,322122547199
1610103532,322122547199
1610103832,322122547199
1610104132,322122547199
1610104432,322122547199
1610104732,322122547199
1610105032,322122547199
1610105332,322122547199
1610105632,322122547199
1610105932,322122547199
1610106232,322122547199
1610106532,322122547199
1610106832,322122547199
1610107132,322122547199
1610107432,322122547199
1610107732,322122547199
1610108032,322122547199
1610108332,322122547199
1610108632,322122547199
1610108932,322122547199
1610109232,322122547199
1610109532,322122547199
1610109832,322122547199
1610110132,322122547199
1610110432,322122547199
1610110732,322122547199
1610111032,322122547199
1610111332,322122547199
1610111632,322122547199
1610111932,322122547199
1610112232,322122547199
1610112532,322122547199
1610112832,322122547199
1610113132,322122547199
1610113432,322122547199
1610113732,322122547199
1610114032,322122547199
1610114332,322122547199
1610114632,322122547199
1610114932,322122547199
1610115232,322122547199
1610115532,322122547199
1610115832,322122547199
1610116132,322122547199
1610116432,322122547199
1610116732,322122547199
1610117032,322122547199
1610117332,322122547199
1610117632,322122547199
1610117932,322122547199
1610118232,322122547199
1610118532,322122547199
1610118832,322122547199
1610119132,322122547199
1610119432,322122547199
1610119732,322122547199
1610120032,322122547199
1610120332,322122547199
1610120632,322122547199
1610120932,322122547199
1610121232,322122547199
1610121532,322122547199
1610121832,322122547199
1610122132,322122547199
1610122432,322122547199
1610122732,322122547199
1610123032,322122547199
1610123332,322122547199
1610123632,322122547199
1610123932,322122547199
1610124232,322122547199
1610124532,322122547199
1610124832,322122547199
1610125132,322122547199
1610125432,322122547199
1610125732,322122547199
1610126032,322122547199
1610126332,322122547199
1610126632,322122547199
1610126932,322122547199
1610127232,322122547199
1610127532,322122547199
1610127832,322122547199
1610128132,322122547199
1610128432,322122547199
1610128732,322122547199
1610129032,322122547199
1610129332,322122547199
1610129632,322122547199
1610129932,322122547199
1610130232,322122547199
1610130532,322122547199
1610130832,322122547199
1610131132,322122547199
1610131432,322122547199
1610131732,322122547199
1610132032,322122547199
1610132332,322122547199
1610132632,322122547199
1610132932,322122547199
1610133232,322122547199
1610133532,322122547199
1610133832,322122547199
1610134132,322122547199
1610134432,322122547199
1610134732,322122547199
1610135032,322122547199
1610135332,322122547199
1610135632,322122547199
1610135932,322122547199
1610136232,322122547199
1610136532,322122547199
1610136832,322122547199
1610137132,322122547199
1610137432,322122547199
1610137732,322122547199
1610138032,322122547199
1610138332,322122547199
1610138632,322122547199
1610138932,322122547199
1610139232,322122547199
1610139532,322122547199
1610139832,322122547199
1610140132,322122547199
1610140432,322122547199
1610140732,322122547199
1610141032,322122547199
1610141332,322122547199
1610141632,322122547199
1610141932,322122547199
1610142232,322122547199
1610142532,322122547199
1610142832,322122547199
1610143132,322122547199
1610143432,322122547199
1610143732,322122547199
1610144032,322122547199
1610144332,322122547199
1610144632,322122547199
1610144932,322122547199
1610145232,322122547199
1610145532,322122547199
1610145558,322122547199
1610145558,322122547199
