t,value
1610259598,10267656192
1610259898,7482638336
1610260198,7851737088
1610260498,7851737088
1610260798,8287944704
1610261098,8388608000
1610261398,24326963200
1610261698,37379637248
1610261998,37480300544
1610262298,37580963840
1610262598,37648072704
1610262898,37715181568
1610263198,37715181568
1610263498,37681627136
1610263798,37748736000
1610264098,37748736000
1610264398,37715181568
1610264698,37748736000
1610264998,37715181568
1610265298,37715181568
1610265598,37782290432
1610265898,37748736000
1610266198,37748736000
1610266498,37782290432
1610266798,37648072704
1610267098,37614518272
1610267398,37648072704
1610267698,37681627136
1610267998,37681627136
1610268298,37681627136
1610268598,37648072704
1610268898,37681627136
1610269198,37681627136
1610269498,37681627136
1610269798,37681627136
1610270098,37681627136
1610270398,4127195136
1610270698,5737807872
1610270998,11307843584
1610271298,19226689536
1610271598,29561454592
1610271898,36876320768
1610272198,36976984064
1610272498,37044092928
1610272798,37211865088
1610273098,37211865088
1610273398,37245419520
1610273698,37379637248
1610273998,37379637248
1610274298,37379637248
1610274598,37379637248
1610274898,37413191680
1610275198,37413191680
1610275498,37446746112
1610275798,37480300544
1610276098,37446746112
1610276398,37513854976
1610276698,37513854976
1610276998,37513854976
1610277298,37513854976
1610277598,37480300544
1610277898,37513854976
1610278198,37446746112
1610278498,37446746112
1610278798,37513854976
1610279098,37513854976
1610279398,37513854976
1610279698,37480300544
1610279998,37513854976
1610280298,37513854976
1610280598,37547409408
1610280898,37480300544
1610281198,37480300544
1610281498,37513854976
1610281798,37547409408
1610282098,37547409408
1610282398,37547409408
1610282698,37547409408
1610282998,37513854976
1610283298,37513854976
1610283598,37513854976
1610283898,37513854976
1610284198,37513854976
1610284498,37513854976
1610284798,37446746112
1610285098,37379637248
1610285398,37446746112
1610285698,37446746112
1610285998,37379637248
1610286298,37379637248
1610286598,37413191680
1610286898,37446746112
1610287198,37379637248
1610287498,37446746112
1610287798,37379637248
1610288098,37413191680
1610288398,37413191680
1610288698,37480300544
1610288998,37446746112
1610289298,37413191680
1610289598,37413191680
1610289898,37413191680
1610290198,37413191680
1610290498,37379637248
1610290798,37379637248
1610291098,37379637248
1610291398,37413191680
1610291698,37446746112
1610291998,37379637248
1610292298,37379637248
1610292598,37379637248
1610292898,37446746112
1610293198,37379637248
1610293498,37446746112
1610293798,37513854976
1610294098,37513854976
1610294398,37513854976
1610294698,37513854976
1610294998,37446746112
1610295298,37513854976
1610295598,37379637248
1610295898,37379637248
1610296198,37379637248
1610296498,37312528384
1610296798,37312528384
1610297098,37379637248
1610297398,37245419520
1610297698,37312528384
1610297998,37312528384
1610298298,37312528384
1610298598,37312528384
1610298898,37312528384
1610299198,37312528384
1610299498,37312528384
1610299798,37312528384
1610300098,37312528384
1610300398,37312528384
1610300698,37245419520
1610300998,37312528384
1610301298,37245419520
1610301598,37312528384
1610301898,37312528384
1610302198,37312528384
1610302498,37245419520
1610302798,37346082816
1610303098,37413191680
1610303398,37413191680
1610303698,37346082816
1610303998,37413191680
1610304298,37413191680
1610304598,37413191680
1610304898,37413191680
1610305198,37413191680
1610305498,37413191680
1610305798,37413191680
1610306098,37346082816
1610306398,37346082816
1610306698,37346082816
1610306998,37379637248
1610307298,37346082816
1610307598,37413191680
1610307898,37413191680
1610308198,37278973952
1610308498,37379637248
1610308798,37379637248
1610309098,37379637248
1610309398,37278973952
1610309698,37278973952
1610309998,37413191680
1610310298,37446746112
1610310598,37446746112
1610310738,37446746112
1610310738,37446746112
