t,value
1610407351,211
1610407651,211
1610407951,211
1610408251,211
1610408551,211
1610408851,211
1610409151,212
1610409451,212
1610409751,212
1610410051,212
1610410351,212
1610410651,212
1610410951,213
1610411251,213
1610411551,213
1610411851,213
1610412151,213
1610412451,213
1610412751,214
1610413051,214
1610413351,214
1610413651,214
1610413951,214
1610414251,214
1610414551,215
1610414851,215
1610415151,215
1610415451,215
1610415751,215
1610416051,215
1610416351,216
1610416651,216
1610416951,216
1610417251,216
1610417551,216
1610417851,216
1610418151,217
1610418451,217
1610418751,217
1610419051,217
1610419351,217
1610419651,217
1610419951,218
1610420251,218
1610420551,218
1610420851,218
1610421151,218
1610421451,218
1610421751,219
1610422051,219
1610422351,219
1610422651,219
1610422951,219
1610423251,219
1610423551,220
1610423851,220
1610424151,220
1610424451,220
1610424751,220
1610425051,220
1610425351,221
1610425651,221
1610425951,221
1610426251,221
1610426551,221
1610426851,221
1610427151,222
1610427451,222
1610427751,222
1610428051,222
1610428351,222
1610428651,222
1610428951,223
1610429251,223
1610429551,223
1610429851,223
1610430151,223
1610430451,223
1610430751,224
1610431051,224
1610431351,224
1610431651,224
1610431951,224
1610432251,224
1610432551,225
1610432851,225
1610433151,225
1610433451,225
1610433751,225
1610434051,225
1610434351,226
1610434651,226
1610434951,226
1610435251,226
1610435551,226
1610435851,226
1610436151,227
1610436451,227
1610436751,227
1610437051,227
1610437351,227
1610437651,227
1610437951,228
1610438251,228
1610438551,228
1610438851,228
1610439151,228
1610439451,228
1610439751,229
1610440051,229
1610440351,229
1610440651,229
1610440951,229
1610441251,229
1610441551,230
1610441762,231
