t,value
1610407351,20512768
1610407651,20578304
1610407951,20578304
1610408251,20578304
1610408551,20578304
1610408851,20578304
1610409151,20578304
1610409451,20578304
1610409751,20578304
1610410051,20578304
1610410351,20578304
1610410651,20578304
1610410951,20578304
1610411251,20578304
1610411551,20578304
1610411851,20578304
1610412151,20578304
1610412451,20578304
1610412751,20578304
1610413051,20578304
1610413351,20578304
1610413651,20578304
1610413951,20578304
1610414251,20578304
1610414551,20578304
1610414851,20578304
1610415151,20578304
1610415451,20578304
1610415751,20578304
1610416051,20578304
1610416351,20578304
1610416651,20578304
1610416951,20578304
1610417251,20578304
1610417551,20578304
1610417851,20578304
1610418151,20578304
1610418451,20578304
1610418751,20578304
1610419051,20578304
1610419351,20578304
1610419651,20643840
1610419951,20643840
1610420251,20643840
1610420551,20643840
1610420851,20643840
1610421151,20643840
1610421451,20643840
1610421751,20643840
1610422051,20643840
1610422351,20643840
1610422651,20643840
1610422951,20643840
1610423251,20643840
1610423551,20643840
1610423851,20643840
1610424151,20643840
1610424451,20643840
1610424751,20643840
1610425051,20643840
1610425351,20643840
1610425651,20643840
1610425951,20643840
1610426251,20643840
1610426551,20643840
1610426851,20643840
1610427151,20643840
1610427451,20643840
1610427751,20643840
1610428051,20643840
1610428351,20643840
1610428651,20643840
1610428951,20643840
1610429251,20643840
1610429551,20643840
1610429851,20643840
1610430151,20643840
1610430451,20643840
1610430751,20643840
1610431051,20643840
1610431351,20643840
1610431651,20643840
1610431951,20643840
1610432251,20643840
1610432551,20643840
1610432851,20643840
1610433151,20643840
1610433451,20643840
1610433751,20643840
1610434051,20643840
1610434351,20643840
1610434651,20643840
1610434951,20643840
1610435251,20643840
1610435551,20643840
1610435851,20643840
1610436151,20643840
1610436451,20643840
1610436751,20643840
1610437051,20643840
1610437351,20643840
1610437651,20643840
1610437951,20643840
1610438251,20643840
1610438551,20643840
1610438851,20643840
1610439151,20643840
1610439451,20643840
1610439751,20643840
1610440051,20643840
1610440351,20643840
1610440651,20643840
1610440951,20643840
1610441251,20643840
1610441551,20643840
1610441762,20643840
