t,count
1611367077,0
1611367377,0
1611367677,0
1611367977,0
1611368277,0
1611368577,0
1611368877,0
1611369177,0
1611369477,0
1611369777,0
1611370077,0
1611370377,0
1611370677,0
1611370977,0
1611371277,0
1611371577,0
1611371877,0
1611372177,0
1611372477,0
1611372777,0
1611373077,0
1611373377,0
1611373677,0
1611373977,0
1611374277,0
1611374577,0
1611374877,0
1611375177,0
1611375479,0
1611375777,0
1611376077,0
1611376377,0
1611376677,0
1611376977,0
1611377277,0
1611377577,0
1611377877,0
1611377940,0
1611377940,0
