t,value
1611783144,-2.66409176E8
1611783444,-2.66816048E8
1611783744,-2.66788792E8
1611784044,-2.66788792E8
1611784344,-2.66807128E8
1611784644,-2.66807128E8
1611784944,-2.66807128E8
1611785244,-2.66807128E8
1611785544,-2.66807128E8
1611785844,-2.66807128E8
1611786144,-2.66807128E8
1611786444,-2.6678972E8
1611786744,-2.66793944E8
1611787044,-2.66793944E8
1611787344,-2.66793944E8
1611787644,-2.66793944E8
1611787944,-2.66793944E8
1611788244,-2.66793944E8
1611788544,-2.66793944E8
1611788844,-2.66793944E8
1611789144,-2.66793944E8
1611789444,-2.66793944E8
1611789744,-2.66793944E8
1611790044,-2.66793944E8
1611790344,-2.66793944E8
1611790644,-2.66793944E8
1611790944,-2.66793944E8
1611791244,-2.66793944E8
1611791546,-2.66793944E8
1611791844,-2.66793944E8
1611792144,-2.66793944E8
1611792444,-2.66793944E8
1611792744,-2.66793944E8
1611793044,-2.66793944E8
1611793344,-2.66793944E8
1611793644,-2.66793944E8
1611793944,-2.66793944E8
1611794244,-2.66793944E8
1611794544,-2.66793944E8
1611794844,-2.66793944E8
1611795144,-2.66793944E8
1611795446,-2.66793944E8
1611795744,-2.66793944E8
1611796044,-2.66793944E8
1611796344,-2.66793944E8
1611796644,-2.66793944E8
1611796944,-2.66793944E8
1611797244,-2.66793944E8
1611797544,-2.66793944E8
1611797844,-2.66793944E8
1611798144,-2.66793944E8
1611798444,-2.66793944E8
1611798744,-2.66793944E8
1611799044,-2.66793944E8
1611799344,-2.66793944E8
1611799644,-2.66793944E8
1611799944,-2.66793944E8
1611800244,-2.66793944E8
1611800544,-2.66793944E8
1611800844,-2.66793944E8
1611801144,-2.66793944E8
1611801444,-2.66793944E8
1611801744,-2.66793944E8
1611802044,-2.66793944E8
1611802344,-2.66793944E8
1611802644,-2.66735832E8
1611802944,-2.66735832E8
1611803244,-2.66735832E8
1611803544,-2.66735832E8
1611803844,-2.66735832E8
1611804144,-2.66735832E8
1611804444,-2.66735832E8
1611804744,-2.66735832E8
1611805044,-2.66735832E8
1611805344,-2.66735832E8
1611805644,-2.66735832E8
1611805944,-2.66735832E8
1611806244,-2.66735832E8
1611806544,-2.66735832E8
1611806844,-2.66735832E8
1611807144,-2.66735832E8
1611807444,-2.66735832E8
1611807744,-2.66735832E8
1611808044,-2.66735832E8
1611808344,-2.66735832E8
1611808644,-2.66735832E8
1611808944,-2.66735832E8
1611809244,-2.66735832E8
1611809544,-2.66735832E8
1611809844,-2.66735832E8
1611810144,-2.66735832E8
1611810444,-2.66735832E8
1611810744,-2.66735832E8
1611811044,-2.66735832E8
1611811344,-2.66735832E8
1611811644,-2.66735832E8
1611811944,-2.66735832E8
1611812244,-2.66735832E8
1611812544,-2.66735832E8
1611812844,-2.66735832E8
1611813144,-2.66735832E8
1611813444,-2.66735832E8
1611813744,-2.66735832E8
1611814044,-2.66735832E8
1611814344,-2.66735832E8
1611814644,-2.66735832E8
1611814944,-2.66735832E8
1611815244,-2.66735832E8
1611815544,-2.66735832E8
1611815844,-2.66735832E8
1611816144,-2.66735832E8
1611816444,-2.66735832E8
1611816744,-2.66735832E8
1611817044,-2.66735832E8
1611817344,-2.66735832E8
1611817644,-2.66735832E8
1611817944,-2.66735832E8
1611818018,-2.67360504E8
1611818018,-2.67360504E8
