t,value
1611818399,2013265920
1611818699,2013265920
1611818999,2013265920
1611819299,2013265920
1611819599,2013265920
1611819899,2013265920
1611820199,2013265920
1611820499,2013265920
1611820799,2013265920
1611821099,2013265920
1611821399,2013265920
1611821699,2013265920
1611821999,2013265920
1611822299,2013265920
1611822599,2013265920
1611822899,2013265920
1611823199,2013265920
1611823499,2013265920
1611823799,2013265920
1611824099,2013265920
1611824399,2013265920
1611824699,2013265920
1611824999,2013265920
1611825299,2013265920
1611825599,2013265920
1611825899,2013265920
1611826199,2013265920
1611826499,2013265920
1611826799,2013265920
1611827099,2013265920
1611827399,2013265920
1611827699,2013265920
1611827999,2013265920
1611828299,2013265920
1611828599,2013265920
1611828899,2013265920
1611829199,2013265920
1611829499,2013265920
1611829799,2013265920
1611830099,2013265920
1611830399,2013265920
1611830699,2013265920
1611830999,2013265920
1611831299,2013265920
1611831599,2013265920
1611831899,2013265920
1611832199,2013265920
1611832499,2013265920
1611832799,2013265920
1611833099,2013265920
1611833399,2013265920
1611833699,2013265920
1611833999,2013265920
1611834299,2013265920
1611834599,2013265920
1611834899,2013265920
1611835199,2013265920
1611835499,2013265920
1611835799,2013265920
1611835838,2013265920
1611835838,2013265920
