t,value
1611836213,59441030368
1611836513,77006848024
1611836813,92056023704
1611837113,107591725720
1611837413,124436054680
1611837713,142370908056
1611838013,160288974744
1611838313,178894907288
1611838613,60045109144
1611838913,68685375384
1611839213,35734923160
1611839513,32731801496
1611839813,31507064728
1611840113,30148110232
1611840413,56303789976
1611840713,54743508888
1611841013,53334222744
1611841313,51388065688
1611841613,50129774488
1611841913,48535938968
1611842213,46539450264
1611842513,44492629912
1611842813,42999457688
1611843113,42345146264
1611843413,42378700696
1611843713,42563250072
1611844013,42059933592
1611844313,42563250072
1611844613,43133675416
1611844913,43284670360
1611845213,43200784280
1611845513,43368556440
1611845813,43318224792
1611846113,44056422296
1611846413,44358412184
1611846713,44408743832
1611847013,45264381848
1611847313,45046278040
1611847613,45717366680
1611847913,45834807192
1611848213,46807885720
1611848513,46673667992
1611848813,47176984472
1611849113,47680300952
1611849413,48150063000
1611849713,48468830104
1611850013,48670156696
1611850313,49290913688
1611850613,49676789656
1611850913,50297546648
1611851213,50381432728
1611851513,50935080856
1611851813,51824273304
1611852113,51824273304
1611852413,51572615064
1611852713,51270625176
1611853013,51471951768
1611853313,51690055576
1611853613,51924936600
1611853913,52629579672
1611854213,53082564504
1611854513,53116118936
1611854813,53434886040
1611855113,51337734040
1611855413,50263992216
1611855713,50431764376
1611856013,50280769432
1611856313,50867971992
1611856613,51220293528
1611856913,51690055576
1611857213,51690055576
1611857513,52277258136
1611857813,53082564504
1611858113,53132896152
1611858413,54491850648
1611858713,55280379800
1611859013,55934691224
1611859314,47596414872
1611859613,48032622488
1611859913,48133285784
1611860213,30148110232
1611860513,30953416600
1611860813,31054088032
1611861113,31758731104
1611861413,31758731104
1611861713,32245270368
1611862013,32329156448
1611862313,33386121056
1611862613,33369343840
1611862913,34174650208
1611863213,34979956576
1611863513,34896070496
1611863813,35885926240
1611864113,35550381920
1611864413,36255024992
1611864713,36724787040
1611865013,37714642784
1611865313,37832083296
1611865613,38939379552
1611865913,39442696032
1611866213,40382220128
1611866513,41221080928
1611866813,41992832864
1611867113,42697475936
1611867413,43402119008
1611867713,44140316512
1611868013,44475860832
1611868313,45499271008
1611868613,46052919136
1611868913,47428650848
1611869213,47529314144
1611869513,48519169888
1611869813,39157483360
1611870113,40331888480
1611870413,40533215072
1611870713,41690842976
1611871013,42412263264
1611871313,43502782304
1611871613,44593301344
1611871913,45432162144
1611872213,45868369760
1611872513,46841448288
1611872813,47629977440
1611873113,48015853408
1611873413,49089595232
1611873713,49559357280
1611874013,50314332000
1611874313,51186747232
1611874613,51471959904
1611874913,52612810592
1611875213,52948354912
1611875513,53887879008
1611875813,54374418272
1611876113,55381051232
1611876413,56018585440
1611876713,47713863520
1611877013,29779019616
1611877313,30802429792
1611877613,30651434848
1611877913,32027166560
1611878213,32194938720
1611878513,33067353952
1611878813,33990100832
1611879113,34828961632
1611879413,35617490784
1611879713,36573792096
1611880013,36859004768
1611880313,37546870624
1611880613,38134073184
1611880913,38922602336
1611881213,39476250464
1611881513,40113784672
1611881813,40650655584
1611882113,41489516384
1611882413,42244491104
1611882713,43183988576
1611883013,43804745568
1611883313,44207398752
1611883613,45482467168
1611883913,45214031712
1611884213,46438768480
1611884513,47109857120
1611884813,47931940704
1611885113,48334593888
1611885413,39543332704
1611885713,40432525152
1611886013,41539821408
1611886313,41925697376
1611886613,42965884768
1611886913,43318206304
1611887213,44190621536
1611887513,45281140576
1611887813,45482467168
1611888113,46572986208
1611888413,46858198880
1611888713,48183598944
1611889013,48418450016
1611889313,49676741216
1611889613,49626409568
1611889913,50901477984
1611890213,51320908384
1611890513,51706784352
1611890813,52931521120
1611891113,53418060384
1611891413,54307252832
1611891713,54223366752
1611892013,55179668064
1611892313,55901091296
1611892615,47730587104
1611892913,48099685856
1611893213,30282282464
1611893513,30550717920
1611893813,31960004064
1611894113,31825786336
1611894413,33016968672
1611894713,33352512992
1611895013,34375923168
1611895313,35265115616
1611895613,35684546016
1611895913,36590515680
1611896213,37345490400
1611896513,38050133472
1611896813,38452786656
1611897113,39274870240
1611897413,39543305696
1611897713,40398943712
1611898013,40482829792
1611898313,41791452640
1611898613,41825007072
1611898913,43100075488
1611899213,42932303328
1611899513,43955713504
1611899813,44375143904
1611900113,45264336352
1611900413,46572959200
1611900713,46723954144
1611901013,47629923808
1611901313,47999022560
1611901613,39627191776
1611901913,40080176608
1611902213,41086809568
1611902513,41959224800
1611902813,42697422304
1611903113,43771164128
1611903413,44308035040
1611903713,45180450272
1611904013,46002533856
1611904313,46119974368
1611904613,47428597216
1611904913,47697032672
1611905213,48619779552
1611905513,49274090976
1611905813,50565936608
1611906113,50750485984
1611906413,51237025248
1611906713,52277212640
1611907013,52763751904
1611907313,54173038048
1611907613,53938157024
1611907913,55246779872
1611908213,55431329248
1611908514,47747364320
1611908813,48099685856
1611909113,30231950816
1611909413,30349391328
1611909713,31490242016
1611910013,31926449632
1611910313,32949859808
1611910613,33956492768
1611910913,34359145952
1611911213,35349001696
1611911513,35701323232
1611911813,36691178976
1611912113,37093832160
1611912413,37630703072
1611912713,39056766432
1611913013,39140652512
1611913313,40180839904
1611913613,40348612064
1611913913,41489462752
1611914213,42294769120
1611914513,43452397024
1611914813,43787941344
1611915113,44710688224
1611915413,44945569248
1611915713,45935424992
1611916013,46908503520
1611916313,47344711136
1611916613,48452007392
1611916913,39560082912
1611917213,39778186720
1611917513,40130508256
1611917813,41103586784
1611918113,41841784288
1611918413,42395432416
1611918713,43620169184
1611919013,43989267936
1611919313,44995900896
1611919613,45079786976
1611919913,46019311072
1611920213,46774285792
1611920513,47311156704
1611920813,47764141536
1611921113,48636556768
1611921413,48972101088
1611921713,49727075808
1611922013,49945179616
1611922313,50800817632
1611922613,51438351840
1611922913,52780529120
1611923213,53350954464
1611923513,54256924128
1611923813,55347443168
1611924113,56320521696
1611924413,48133240288
1611924713,29409867232
1611925013,30416500192
1611925313,31456687584
1611925613,32060667360
1611925913,32765310432
1611926213,33973269984
1611926513,34610804192
1611926813,35516773856
1611927113,36204639712
1611927413,37832029664
1611927713,38066910688
1611928013,39107098080
1611928313,39610414560
1611928613,40415720928
1611928913,41506239968
1611929213,42093442528
1611929513,43351733728
1611929813,43502728672
1611930113,44744242656
1611930413,44979123680
1611930713,46019311072
1611931013,47210493408
1611931313,47395042784
1611931614,38989657568
1611931913,40432498144
1611932213,40734488032
1611932513,41690789344
1611932813,42563204576
1611933113,43485951456
1611933413,44341589472
1611933713,45515994592
1611934013,46656845280
1611934313,46908503520
1611934613,47948690912
1611934913,48921769440
1611935213,49626412512
1611935513,50314278368
1611935813,51656455648
1611936113,51622901216
