t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1614113546,17,50.442786,3.723872,0.006760,6.408811,0.293186,5.673626,19.173307,19.173307,19.173307,50.442786,0.056661,0.159174,0.411698,0.733584,calls/second,milliseconds
1614113846,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.044997,0.002790,0.164788,0.533822,calls/second,milliseconds
1614114146,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.029999,0.000019,0.060622,0.382500,calls/second,milliseconds
1614114446,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.022500,0.000000,0.022302,0.274073,calls/second,milliseconds
1614114746,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.018000,0.000000,0.008204,0.196382,calls/second,milliseconds
1614115046,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.015000,0.000000,0.003018,0.140714,calls/second,milliseconds
1614115346,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.012857,0.000000,0.001110,0.100826,calls/second,milliseconds
1614115646,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.011250,0.000000,0.000408,0.072245,calls/second,milliseconds
1614115946,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.010000,0.000000,0.000150,0.051766,calls/second,milliseconds
1614116246,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.009000,0.000000,0.000055,0.037092,calls/second,milliseconds
1614116546,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.008182,0.000000,0.000020,0.026577,calls/second,milliseconds
1614116846,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.007500,0.000000,0.000007,0.019044,calls/second,milliseconds
1614117146,27,50.442786,2.871286,0.006760,5.208357,0.285103,0.743890,14.201836,19.173307,19.173307,19.173307,0.006923,0.000000,0.000003,0.013645,calls/second,milliseconds
1614117211,28,50.442786,4.927478,0.006760,0.000000,4.927478,4.927478,4.927478,4.927478,4.927478,4.927478,0.007062,0.000000,0.000002,0.012765,calls/second,milliseconds
1614117211,28,50.442786,4.927478,0.006760,0.000000,4.927478,4.927478,4.927478,4.927478,4.927478,4.927478,0.007062,0.000000,0.000002,0.012765,calls/second,milliseconds
