t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1614117567,32,16.066983,0.506499,0.018811,0.639113,0.382426,0.574004,1.361641,1.361641,1.538815,2.339546,0.106612,0.208377,1.172444,2.179653,calls/second,milliseconds
1614117867,67,16.066983,1.747262,0.018811,1.658521,1.695811,1.695811,5.111357,5.111357,5.111357,5.111357,0.111637,0.021988,0.483295,1.591371,calls/second,milliseconds
1614118167,75,16.066983,0.845409,0.018811,0.687424,0.635755,0.709523,2.238162,2.238162,2.238162,5.111357,0.083319,0.024874,0.195399,1.147959,calls/second,milliseconds
1614118467,80,16.066983,0.715748,0.018811,0.105723,0.718856,0.718856,0.753568,0.753568,0.753568,2.238162,0.066658,0.014189,0.082142,0.827233,calls/second,milliseconds
1614118767,85,16.066983,0.725205,0.018811,0.041257,0.743459,0.743459,0.743459,0.743459,0.743459,0.753568,0.056661,0.014117,0.040476,0.597423,calls/second,milliseconds
1614119067,90,16.066983,0.690383,0.018811,0.043203,0.720308,0.720308,0.720308,0.743459,0.792009,0.792009,0.049996,0.014117,0.025149,0.432757,calls/second,milliseconds
1614119367,95,16.066983,0.667673,0.018811,0.114168,0.608255,0.627926,0.867965,0.867965,0.867965,0.867965,0.045235,0.014117,0.019510,0.314768,calls/second,milliseconds
1614119667,100,16.066983,0.729250,0.018811,0.134808,0.761499,0.761499,0.761499,1.288628,1.288628,1.288628,0.041664,0.014117,0.017436,0.230226,calls/second,milliseconds
1614119967,105,16.066983,0.692014,0.018811,0.032677,0.696515,0.705619,0.705619,0.749331,0.749331,0.761499,0.038887,0.014117,0.016672,0.169648,calls/second,milliseconds
1614120267,110,16.066983,0.658080,0.018811,0.038048,0.627699,0.706119,0.706119,0.715455,0.715455,0.715455,0.036665,0.014117,0.016392,0.126243,calls/second,milliseconds
1614120567,115,16.066983,0.702479,0.018811,0.008473,0.704229,0.704809,0.704809,0.704809,0.714345,0.714345,0.034847,0.014117,0.016288,0.095141,calls/second,milliseconds
1614120867,120,16.066983,6.761325,0.018811,5.003582,10.902878,10.902878,10.902878,10.902878,10.902878,10.902878,0.033332,0.014117,0.016250,0.072856,calls/second,milliseconds
1614121167,125,16.066983,1.316613,0.018811,1.715243,0.652059,0.774731,3.402574,7.588593,7.588593,10.902878,0.032050,0.014117,0.016236,0.056888,calls/second,milliseconds
1614121467,130,16.066983,0.682128,0.018811,0.194471,0.655955,0.696142,0.730627,0.748319,0.748319,3.402574,0.030951,0.014117,0.016231,0.045446,calls/second,milliseconds
1614121767,135,16.066983,1.240111,0.018811,1.890594,0.703019,0.810495,3.414235,10.291535,10.291535,10.291535,0.029999,0.014117,0.016229,0.037248,calls/second,milliseconds
1614122067,140,16.066983,0.688541,0.018811,0.207822,0.687923,0.687923,0.692739,0.692739,0.703019,1.569787,0.029166,0.014117,0.016229,0.031374,calls/second,milliseconds
1614122367,145,16.066983,0.706069,0.018811,0.024123,0.702338,0.714243,0.719026,0.719026,0.719026,0.719026,0.028430,0.014117,0.016228,0.027165,calls/second,milliseconds
1614122667,150,16.066983,0.702171,0.018811,0.012184,0.706518,0.706518,0.724525,0.724525,0.724525,0.724525,0.027777,0.014117,0.016228,0.024149,calls/second,milliseconds
1614122967,155,16.066983,0.719855,0.018811,0.017207,0.733565,0.733565,0.733565,0.733565,0.733565,0.733565,0.027192,0.014117,0.016228,0.021988,calls/second,milliseconds
1614123267,160,16.066983,0.694039,0.018811,0.048264,0.682905,0.682905,0.842190,0.842190,0.953875,0.953875,0.026666,0.014117,0.016228,0.020439,calls/second,milliseconds
1614123567,165,16.066983,0.676213,0.018811,0.012931,0.684422,0.684422,0.684422,0.684422,0.684422,0.723883,0.026190,0.014117,0.016228,0.019330,calls/second,milliseconds
1614123867,170,16.066983,0.646197,0.018811,0.064145,0.639256,0.639256,0.671809,0.684422,1.127718,1.127718,0.025757,0.014117,0.016228,0.018535,calls/second,milliseconds
1614124167,175,16.066983,0.674729,0.018811,0.019459,0.673076,0.675816,0.715585,0.715585,0.715585,0.715585,0.025362,0.014117,0.016228,0.017965,calls/second,milliseconds
1614124467,180,16.066983,0.632912,0.018811,0.020622,0.617699,0.665748,0.665748,0.665748,0.673076,0.715585,0.024999,0.014117,0.016228,0.017557,calls/second,milliseconds
1614124767,185,16.066983,0.678864,0.018811,0.156674,0.629952,0.659189,0.733962,1.432054,1.432054,1.432054,0.024666,0.014117,0.016228,0.017265,calls/second,milliseconds
1614125067,190,16.066983,0.645098,0.018811,0.040048,0.619425,0.681893,0.705268,0.705268,0.705268,0.733962,0.024358,0.014117,0.016228,0.017055,calls/second,milliseconds
1614125367,195,16.066983,0.652478,0.018811,0.020941,0.659845,0.659845,0.680636,0.680636,0.708148,0.708148,0.024074,0.014117,0.016228,0.016905,calls/second,milliseconds
1614125667,200,16.066983,0.658440,0.018811,0.021445,0.652681,0.684962,0.684962,0.701749,0.701749,0.701749,0.023809,0.014117,0.016228,0.016797,calls/second,milliseconds
1614125967,205,16.066983,0.634335,0.018811,0.043115,0.660662,0.660662,0.694108,0.694108,0.725471,0.725471,0.023563,0.014117,0.016228,0.016720,calls/second,milliseconds
1614126267,210,16.066983,0.612218,0.018811,0.042331,0.607642,0.607642,0.725472,0.725472,0.725472,0.725472,0.023333,0.014117,0.016228,0.016665,calls/second,milliseconds
1614126567,215,16.066983,0.615852,0.018811,0.043505,0.587025,0.646546,0.685305,0.685305,0.685305,0.725472,0.023118,0.014117,0.016228,0.016625,calls/second,milliseconds
1614126867,220,16.066983,0.708256,0.018811,0.126375,0.675736,0.675736,1.088178,1.088178,1.088178,1.088178,0.022916,0.014117,0.016228,0.016597,calls/second,milliseconds
1614127167,225,16.066983,0.669152,0.018811,0.025438,0.682096,0.682096,0.682096,0.682096,0.682096,1.088178,0.022727,0.014117,0.016228,0.016577,calls/second,milliseconds
1614127467,230,16.066983,0.626880,0.018811,0.045405,0.648429,0.648429,0.648429,0.682096,0.870064,0.870064,0.022549,0.014117,0.016228,0.016562,calls/second,milliseconds
1614127767,235,16.066983,0.611422,0.018811,0.040579,0.619709,0.619709,0.619709,0.648429,0.892738,0.892738,0.022381,0.014117,0.016228,0.016552,calls/second,milliseconds
1614128067,240,16.066983,0.565716,0.018811,0.006827,0.564288,0.565157,0.572513,0.572513,0.577171,0.619709,0.022222,0.014117,0.016228,0.016544,calls/second,milliseconds
