t,value
1614139262,1
1614139562,1
1614139862,0
1614140162,0
1614140462,0
1614140762,0
1614141062,0
1614141362,0
1614141662,0
1614141962,0
1614142262,0
1614142562,0
1614142862,0
1614143162,0
1614143462,0
1614143762,0
1614144062,0
1614144362,0
1614144662,0
1614144962,0
1614145262,0
1614145562,0
1614145862,0
1614146162,0
1614146462,0
1614146762,0
1614147062,0
1614147362,0
1614147662,0
1614147962,0
1614148262,0
1614148562,0
1614148862,0
1614149162,0
1614149462,0
1614149762,0
1614150062,0
1614150362,0
1614150662,0
1614150962,0
1614151262,0
1614151562,0
1614151862,0
1614152162,0
1614152462,0
1614152762,0
1614153062,0
1614153362,0
1614153662,0
1614153962,0
1614154099,0
1614154099,0
