t,count
1614154457,32
1614154757,67
1614155057,75
1614155357,80
1614155657,85
1614155957,90
1614156257,95
1614156557,100
1614156857,105
1614157157,110
1614157457,115
1614157757,120
1614158057,125
1614158357,130
1614158657,135
1614158957,140
1614159257,145
1614159557,150
1614159857,155
1614160157,160
1614160457,165
1614160757,170
1614161057,175
1614161357,180
1614161657,185
1614161957,190
1614162257,195
1614162557,200
1614162857,205
1614163157,210
1614163457,215
1614163757,220
1614164057,225
1614164357,230
1614164657,235
1614164957,240
1614165257,245
1614165557,250
1614165857,255
1614166157,260
1614166457,265
1614166757,270
1614167057,275
1614167357,280
1614167657,285
1614167957,290
1614168257,295
1614168557,300
1614168857,305
1614169157,310
1614169457,315
1614169757,320
1614170057,325
1614170357,330
1614170657,335
1614170957,340
1614171257,345
1614171557,350
1614171857,355
1614172157,360
1614172457,365
1614172757,370
1614173057,375
1614173357,380
1614173657,385
1614173957,390
1614174257,395
1614174557,400
1614174857,405
1614175157,410
1614175457,415
1614175757,420
1614176057,425
1614176357,430
1614176657,435
1614176957,440
1614177257,445
1614177557,450
1614177857,455
1614178157,460
1614178457,465
1614178757,470
1614179057,475
1614179357,480
1614179657,485
1614179957,490
1614180257,495
1614180557,500
1614180857,505
1614181157,510
1614181457,515
1614181757,520
1614182057,525
1614182357,530
1614182657,535
1614182957,540
1614183257,545
1614183557,550
1614183857,555
1614184157,560
1614184457,565
1614184757,570
1614185057,575
1614185357,580
1614185657,585
1614185957,590
1614186257,595
1614186557,600
1614186857,605
1614187157,610
1614187457,615
1614187757,620
1614188057,625
1614188357,630
1614188657,635
1614188957,640
1614189257,645
1614189557,650
1614189857,655
1614190157,660
1614190457,665
1614190757,670
1614191057,675
1614191357,680
1614191657,685
1614191957,690
1614192257,695
1614192557,700
1614192857,705
1614193157,710
1614193457,715
1614193757,720
1614194057,725
1614194357,730
1614194657,735
1614194957,740
1614195257,745
1614195557,750
1614195857,755
1614196157,760
1614196457,765
1614196757,770
1614197057,775
1614197357,780
1614197657,785
1614197957,790
1614198257,795
1614198557,800
1614198857,805
1614199157,810
1614199457,815
1614199757,820
1614200057,825
1614200357,830
1614200657,835
1614200957,840
1614201257,845
1614201557,850
1614201857,855
1614202157,860
1614202457,865
1614202757,870
1614203057,875
1614203357,880
1614203657,885
1614203957,890
1614204257,895
1614204557,900
1614204857,905
1614205157,910
1614205457,915
1614205757,920
1614206057,925
1614206357,930
1614206657,935
1614206957,940
1614207257,945
1614207557,950
1614207857,955
1614208157,960
1614208457,965
1614208757,970
1614209057,975
1614209357,980
1614209657,985
1614209957,990
1614210257,995
1614210557,1000
1614210857,1005
1614211157,1010
1614211457,1015
1614211757,1020
1614212057,1025
1614212357,1030
1614212657,1035
1614212957,1040
1614213257,1045
1614213557,1050
1614213857,1055
1614214157,1060
1614214457,1065
1614214757,1070
1614215057,1075
1614215357,1080
1614215657,1085
1614215957,1090
1614216257,1095
1614216557,1100
1614216857,1105
1614217157,1110
1614217457,1115
1614217757,1120
1614218057,1125
1614218357,1130
1614218657,1135
1614218957,1140
1614219257,1145
1614219557,1150
1614219857,1155
1614220157,1160
1614220457,1165
1614220757,1170
1614221057,1175
1614221357,1180
1614221657,1185
1614221957,1190
1614222257,1195
1614222557,1200
1614222857,1205
1614223157,1210
1614223457,1215
1614223757,1220
1614224057,1225
1614224357,1230
1614224657,1235
1614224957,1240
1614225257,1245
1614225557,1250
1614225857,1255
1614226157,1260
1614226457,1265
1614226757,1270
1614227057,1275
1614227357,1280
1614227657,1285
1614227957,1290
1614228257,1295
1614228557,1300
1614228857,1305
1614229157,1310
1614229457,1315
1614229757,1320
1614230057,1325
1614230357,1330
1614230657,1335
1614230957,1340
1614231257,1345
1614231557,1350
1614231857,1355
1614232157,1360
1614232457,1365
1614232757,1370
1614233057,1375
1614233357,1380
1614233657,1385
1614233957,1390
1614234257,1395
1614234557,1400
1614234857,1405
1614235157,1410
1614235457,1415
1614235757,1420
1614236057,1425
1614236357,1430
1614236657,1435
1614236957,1440
1614237257,1445
1614237557,1450
1614237857,1455
1614238157,1460
1614238457,1465
1614238757,1470
1614239057,1475
1614239357,1480
1614239657,1485
1614239957,1490
1614240257,1495
1614240557,1500
1614240857,1505
1614241157,1510
1614241457,1515
1614241757,1520
1614242057,1525
1614242357,1530
1614242657,1535
1614242957,1540
1614243257,1545
1614243557,1550
1614243857,1555
1614244157,1560
1614244457,1565
1614244757,1570
1614245057,1575
1614245357,1580
1614245657,1585
1614245957,1590
1614246257,1595
1614246557,1600
1614246857,1605
1614247157,1610
1614247457,1615
1614247757,1620
1614248057,1625
1614248357,1630
1614248657,1635
1614248957,1640
1614249257,1645
1614249557,1650
1614249857,1655
1614250157,1660
1614250457,1665
1614250757,1670
1614251057,1675
1614251357,1680
1614251657,1685
1614251957,1690
1614252257,1695
1614252557,1700
1614252857,1705
1614253157,1710
1614253457,1715
1614253757,1720
1614254057,1725
1614254357,1730
1614254657,1735
1614254957,1740
1614255257,1745
1614255557,1750
1614255857,1755
1614256157,1760
1614256457,1765
1614256757,1770
1614257057,1775
1614257357,1780
1614257657,1785
1614257957,1790
1614258257,1795
1614258557,1800
1614258857,1805
1614259157,1810
1614259457,1815
1614259757,1820
1614260057,1825
1614260357,1830
1614260657,1835
1614260957,1840
1614261257,1845
1614261557,1850
1614261857,1855
1614262157,1860
1614262457,1865
1614262757,1870
1614263057,1875
1614263357,1880
1614263657,1885
1614263957,1890
1614264257,1895
1614264557,1900
1614264857,1905
1614265157,1910
1614265457,1915
1614265757,1920
1614266057,1925
1614266357,1930
1614266657,1935
1614266957,1940
1614267257,1945
1614267557,1950
1614267857,1955
1614268157,1960
1614268457,1965
1614268757,1970
1614269057,1975
1614269357,1980
1614269657,1985
1614269957,1990
1614270257,1995
1614270557,2000
1614270857,2005
1614271157,2010
1614271457,2015
1614271757,2020
1614272057,2025
1614272357,2030
1614272657,2035
1614272957,2040
1614273257,2045
1614273557,2050
1614273857,2055
1614274157,2060
1614274457,2065
