t,value
1614154457,2555904
1614154757,2555904
1614155057,2555904
1614155357,2555904
1614155657,2555904
1614155957,2555904
1614156257,2555904
1614156557,2555904
1614156857,2555904
1614157157,2555904
1614157457,2555904
1614157757,2555904
1614158057,2555904
1614158357,2555904
1614158657,2555904
1614158957,2555904
1614159257,2555904
1614159557,2555904
1614159857,2555904
1614160157,2555904
1614160457,2555904
1614160757,2555904
1614161057,2555904
1614161357,2555904
1614161657,2555904
1614161957,2555904
1614162257,2555904
1614162557,2555904
1614162857,2555904
1614163157,2555904
1614163457,2555904
1614163757,2555904
1614164057,2555904
1614164357,2555904
1614164657,2555904
1614164957,2555904
1614165257,2555904
1614165557,2555904
1614165857,2555904
1614166157,2555904
1614166457,2555904
1614166757,2555904
1614167057,2555904
1614167357,2555904
1614167657,2555904
1614167957,2555904
1614168257,2555904
1614168557,2555904
1614168857,2555904
1614169157,2555904
1614169457,2555904
1614169757,2555904
1614170057,2555904
1614170357,2555904
1614170657,2555904
1614170957,2555904
1614171257,2555904
1614171557,2555904
1614171857,2555904
1614172157,2555904
1614172457,2555904
1614172757,2555904
1614173057,2555904
1614173357,2555904
1614173657,2555904
1614173957,2555904
1614174257,2555904
1614174557,2555904
1614174857,2555904
1614175157,2555904
1614175457,2555904
1614175757,2555904
1614176057,2555904
1614176357,2555904
1614176657,2555904
1614176957,2555904
1614177257,2555904
1614177557,2555904
1614177857,2555904
1614178157,2555904
1614178457,2555904
1614178757,2555904
1614179057,2555904
1614179357,2555904
1614179657,2555904
1614179957,2555904
1614180257,2555904
1614180557,2555904
1614180857,2555904
1614181157,2555904
1614181457,2555904
1614181757,2555904
1614182057,2555904
1614182357,2555904
1614182657,2555904
1614182957,2555904
1614183257,2555904
1614183557,2555904
1614183857,2555904
1614184157,2555904
1614184457,2555904
1614184757,2555904
1614185057,2555904
1614185357,2555904
1614185657,2555904
1614185957,2555904
1614186257,2555904
1614186557,2555904
1614186857,2555904
1614187157,2555904
1614187457,2555904
1614187757,2555904
1614188057,2555904
1614188357,2555904
1614188657,2555904
1614188957,2555904
1614189257,2555904
1614189557,2555904
1614189857,2555904
1614190157,2555904
1614190457,2555904
1614190757,2555904
1614191057,2555904
1614191357,2555904
1614191657,2555904
1614191957,2555904
1614192257,2555904
1614192557,2555904
1614192857,2555904
1614193157,2555904
1614193457,2555904
1614193757,2555904
1614194057,2555904
1614194357,2555904
1614194657,2555904
1614194957,2555904
1614195257,2555904
1614195557,2555904
1614195857,2555904
1614196157,2555904
1614196457,2555904
1614196757,2555904
1614197057,2555904
1614197357,2555904
1614197657,2555904
1614197957,2555904
1614198257,2555904
1614198557,2555904
1614198857,2555904
1614199157,2555904
1614199457,2555904
1614199757,2555904
1614200057,2555904
1614200357,2555904
1614200657,2555904
1614200957,2555904
1614201257,2555904
1614201557,2555904
1614201857,2555904
1614202157,2555904
1614202457,2555904
1614202757,2555904
1614203057,2555904
1614203357,2555904
1614203657,2555904
1614203957,2555904
1614204257,2555904
1614204557,2555904
1614204857,2555904
1614205157,2555904
1614205457,2555904
1614205757,2555904
1614206057,2555904
1614206357,2555904
1614206657,2555904
1614206957,2555904
1614207257,2555904
1614207557,2555904
1614207857,2555904
1614208157,2555904
1614208457,2555904
1614208757,2555904
1614209057,2555904
1614209357,2555904
1614209657,2555904
1614209957,2555904
1614210257,2555904
1614210557,2555904
1614210857,2555904
1614211157,2555904
1614211457,2555904
1614211757,2555904
1614212057,2555904
1614212357,2555904
1614212657,2555904
1614212957,2555904
1614213257,2555904
1614213557,2555904
1614213857,2555904
1614214157,2555904
1614214457,2555904
1614214757,2555904
1614215057,2555904
1614215357,2555904
1614215657,2555904
1614215957,2555904
1614216257,2555904
1614216557,2555904
1614216857,2555904
1614217157,2555904
1614217457,2555904
1614217757,2555904
1614218057,2555904
1614218357,2555904
1614218657,2555904
1614218957,2555904
1614219257,2555904
1614219557,2555904
1614219857,2555904
1614220157,2555904
1614220457,2555904
1614220757,2555904
1614221057,2555904
1614221357,2555904
1614221657,2555904
1614221957,2555904
1614222257,2555904
1614222557,2555904
1614222857,2555904
1614223157,2555904
1614223457,2555904
1614223757,2555904
1614224057,2555904
1614224357,2555904
1614224657,2555904
1614224957,2555904
1614225257,2555904
1614225557,2555904
1614225857,2555904
1614226157,2555904
1614226457,2555904
1614226757,2555904
1614227057,2555904
