t,value
1614315483,220150628352
1614315783,225150238720
1614316083,225150238720
1614316383,225150238720
1614316683,225150238720
1614316983,225150238720
1614317283,225150238720
1614317583,225150238720
1614317883,225150238720
1614318183,225150238720
1614318483,225150238720
1614318783,223774507008
1614319083,203574738944
1614319383,225150238720
1614319683,213339078656
1614319983,201863462912
1614320283,195756556288
1614320583,177066737664
1614320883,201561473024
1614321183,187502166016
1614321483,225150238720
1614321783,186495533056
1614322083,179717537792
1614322383,155491237888
1614322683,155491237888
1614322983,137841606656
1614323283,137841606656
1614323583,115796344832
1614323883,115796344832
1614323904,115796344832
1614323904,115796344832
