t,value
1614346389,2155151360
1614346689,2155151360
1614346989,2155151360
1614347289,2155151360
1614347589,2155151360
1614347889,2155151360
1614348189,2155151360
1614348489,2155151360
1614348789,2155151360
1614349089,2155151360
1614349389,2155151360
1614349689,2155151360
1614349989,2155151360
1614350289,2155151360
1614350589,2155151360
1614350889,2155151360
1614351189,2155151360
1614351489,2155151360
1614351789,2155151360
1614352089,2155151360
1614352389,2155151360
1614352689,2155151360
1614352989,2155151360
1614353146,2155151360
1614353146,2155151360
