t,value
1614353498,177685
1614353798,177075
1614354098,177075
1614354398,177075
1614354698,177075
1614354998,177075
1614355298,177075
1614355598,177075
1614355898,177075
1614356198,177075
1614356498,177075
1614356798,177075
1614357098,177075
1614357398,177075
1614357698,177075
1614357998,177075
1614358298,177075
1614358598,177075
1614358898,177075
1614359198,177075
1614359498,177075
1614359798,177075
1614360098,177075
1614360398,177075
1614360698,177075
1614360998,177075
1614361298,177075
1614361598,177075
1614361898,177075
1614362198,177075
1614362498,177075
1614362798,177075
1614363098,177075
1614363398,177075
1614363698,177075
1614363829,177075
1614363829,177075
