t,value
1614367190,3
1614367490,0
1614367790,0
1614368090,0
1614368390,0
1614368690,0
1614368990,0
1614369290,0
1614369590,0
1614369890,0
1614370190,0
1614370490,0
1614370790,0
1614371090,0
1614371390,0
1614371690,0
1614371990,0
1614372290,0
1614372590,0
1614372890,0
1614373190,0
1614373490,0
1614373790,0
1614374090,0
1614374390,0
1614374690,0
1614374990,0
1614375290,0
1614375590,0
1614375890,0
1614376190,0
1614376490,0
1614376790,0
1614377090,0
1614377390,0
1614377690,0
1614377990,0
1614378290,0
1614378590,0
1614378890,0
1614379190,0
1614379490,0
1614379790,0
1614380090,0
1614380390,0
1614380690,0
1614380990,0
1614381290,0
1614381590,0
1614381890,0
1614382190,0
1614382490,0
1614382790,0
1614383090,0
1614383390,0
1614383690,0
1614383990,0
1614384290,0
1614384590,0
1614384890,0
1614385190,0
1614385490,0
1614385790,0
1614386090,0
1614386390,0
1614386690,0
1614386990,0
1614387127,0
1614387127,0
