t,value
1614411772,2
1614412072,3
1614412372,2
1614412672,2
1614412972,2
1614413272,2
1614413572,2
1614413872,2
1614414172,2
1614414472,2
1614414772,2
1614415072,2
1614415372,2
1614415672,2
1614415972,2
1614416272,2
1614416572,2
1614416872,2
1614417172,2
1614417472,2
1614417772,2
1614418072,2
1614418372,2
1614418672,2
1614418972,2
1614419272,2
1614419572,2
1614419872,2
1614420172,2
1614420472,2
1614420772,2
1614421072,2
1614421372,2
1614421672,2
1614421972,2
1614422272,2
1614422572,2
1614422872,2
1614423172,2
1614423472,2
1614423772,2
1614424072,2
1614424372,2
1614424672,2
1614424972,2
1614425272,2
1614425572,2
1614425872,2
1614426172,2
1614426472,2
1614426772,2
1614427072,2
1614427372,2
1614427672,2
1614427972,2
1614428272,2
1614428572,2
1614428872,2
1614429172,2
1614429472,2
1614429772,2
1614430072,2
1614430372,2
1614430672,2
1614430972,2
1614431272,2
1614431572,2
1614431872,2
1614432172,2
1614432472,2
1614432772,2
1614433072,2
1614433372,2
1614433672,2
1614433972,2
1614434272,2
1614434572,2
1614434872,2
1614435172,2
1614435472,2
1614435772,2
1614436072,2
1614436372,2
1614436672,2
1614436972,2
1614437272,2
1614437572,2
1614437872,2
1614438172,2
1614438472,2
1614438772,2
1614439072,2
1614439372,2
1614439672,2
1614439972,2
1614440272,2
1614440572,2
1614440872,2
1614441172,2
1614441472,2
1614441772,2
1614442072,2
1614442372,2
1614442672,2
1614442972,2
1614443272,2
1614443572,2
1614443872,2
1614444172,2
1614444472,2
1614444772,2
1614445072,2
1614445372,2
1614445672,2
1614445972,2
1614446272,2
1614446572,2
1614446872,2
1614447172,2
1614447472,2
1614447772,2
1614448072,2
1614448372,2
1614448672,2
1614448972,2
1614449272,2
1614449572,2
1614449872,2
1614450172,2
1614450472,2
1614450772,2
1614451072,2
1614451372,2
1614451672,2
1614451972,2
1614452272,2
1614452572,2
1614452872,2
1614453172,2
1614453472,2
1614453772,2
1614454072,2
1614454372,2
1614454672,2
1614454972,2
1614455272,2
1614455572,2
1614455872,2
1614456172,2
1614456472,2
1614456772,2
1614457072,2
1614457372,2
1614457672,2
1614457972,2
1614458272,2
1614458572,2
1614458872,2
1614459172,2
1614459472,2
1614459772,2
1614460072,2
1614460372,2
1614460672,2
1614460972,2
1614461272,2
1614461572,2
1614461872,2
1614462172,2
1614462472,2
1614462772,2
1614463072,2
1614463372,2
1614463672,2
1614463972,2
1614464272,2
1614464572,2
1614464872,2
1614465172,2
1614465472,2
1614465772,2
1614466072,2
1614466372,2
1614466672,2
1614466972,2
1614467272,2
1614467572,2
1614467872,2
1614468172,2
1614468472,2
1614468772,2
1614469072,2
1614469372,2
1614469672,2
1614469972,2
1614470272,2
1614470572,2
1614470872,2
1614471172,2
1614471472,2
1614471772,2
1614472072,2
1614472372,2
1614472672,2
1614472972,2
1614473272,2
1614473572,2
1614473872,2
1614474172,2
1614474472,2
1614474772,2
1614475072,2
1614475372,2
1614475672,2
1614475972,2
1614476272,2
1614476572,2
1614476872,2
1614477172,2
1614477472,2
1614477772,2
1614478072,2
1614478372,2
1614478672,2
1614478972,2
1614479272,2
1614479572,2
1614479872,2
1614480172,2
1614480472,2
1614480772,2
1614481072,2
1614481372,2
1614481672,2
1614481972,2
1614482272,2
1614482572,2
1614482872,2
1614483172,2
1614483472,2
1614483772,2
1614484072,2
1614484372,2
1614484672,2
1614484972,2
1614485272,2
1614485572,2
1614485872,2
1614486172,2
1614486472,2
1614486772,2
1614487072,2
1614487372,2
1614487672,2
1614487972,2
1614488272,2
1614488572,2
1614488872,2
1614489172,2
1614489472,2
1614489772,2
1614490072,2
1614490372,2
1614490672,2
1614490972,2
1614491272,2
1614491572,2
1614491872,2
1614492172,2
1614492472,2
1614492772,2
1614493072,2
1614493372,2
1614493621,2
1614493621,2
