t,value
1614411772,-1
1614412072,-1
1614412372,-1
1614412672,-1
1614412972,-1
1614413272,-1
1614413572,-1
1614413872,-1
1614414172,-1
1614414472,-1
1614414772,-1
1614415072,-1
1614415372,-1
1614415672,-1
1614415972,-1
1614416272,-1
1614416572,-1
1614416872,-1
1614417172,-1
1614417472,-1
1614417772,-1
1614418072,-1
1614418372,-1
1614418672,-1
1614418972,-1
1614419272,-1
1614419572,-1
1614419872,-1
1614420172,-1
1614420472,-1
1614420772,-1
1614421072,-1
1614421372,-1
1614421672,-1
1614421972,-1
1614422272,-1
1614422572,-1
1614422872,-1
1614423172,-1
1614423472,-1
1614423772,-1
1614424072,-1
1614424372,-1
1614424672,-1
1614424972,-1
1614425272,-1
1614425572,-1
1614425872,-1
1614426172,-1
1614426472,-1
1614426772,-1
1614427072,-1
1614427372,-1
1614427672,-1
1614427972,-1
1614428272,-1
1614428572,-1
1614428872,-1
1614429172,-1
1614429472,-1
1614429772,-1
1614430072,-1
1614430372,-1
1614430672,-1
1614430972,-1
1614431272,-1
1614431572,-1
1614431872,-1
1614432172,-1
1614432472,-1
1614432772,-1
1614433072,-1
1614433372,-1
1614433672,-1
1614433972,-1
1614434272,-1
1614434572,-1
1614434872,-1
1614435172,-1
1614435472,-1
1614435772,-1
1614436072,-1
1614436372,-1
1614436672,-1
1614436972,-1
1614437272,-1
1614437572,-1
1614437872,-1
1614438172,-1
1614438472,-1
1614438772,-1
1614439072,-1
1614439372,-1
1614439672,-1
1614439972,-1
1614440272,-1
1614440572,-1
1614440872,-1
1614441172,-1
1614441472,-1
1614441772,-1
1614442072,-1
1614442372,-1
1614442672,-1
1614442972,-1
1614443272,-1
1614443572,-1
1614443872,-1
1614444172,-1
1614444472,-1
1614444772,-1
1614445072,-1
1614445372,-1
1614445672,-1
1614445972,-1
1614446272,-1
1614446572,-1
1614446872,-1
1614447172,-1
1614447472,-1
1614447772,-1
1614448072,-1
1614448372,-1
1614448672,-1
1614448972,-1
1614449272,-1
1614449572,-1
1614449872,-1
1614450172,-1
1614450472,-1
1614450772,-1
1614451072,-1
1614451372,-1
1614451672,-1
1614451972,-1
1614452272,-1
1614452572,-1
1614452872,-1
1614453172,-1
1614453472,-1
1614453772,-1
1614454072,-1
1614454372,-1
1614454672,-1
1614454972,-1
1614455272,-1
1614455572,-1
1614455872,-1
1614456172,-1
1614456472,-1
1614456772,-1
1614457072,-1
1614457372,-1
1614457672,-1
1614457972,-1
1614458272,-1
1614458572,-1
1614458872,-1
1614459172,-1
1614459472,-1
1614459772,-1
1614460072,-1
1614460372,-1
1614460672,-1
1614460972,-1
1614461272,-1
1614461572,-1
1614461872,-1
1614462172,-1
1614462472,-1
1614462772,-1
1614463072,-1
1614463372,-1
1614463672,-1
1614463972,-1
1614464272,-1
1614464572,-1
1614464872,-1
1614465172,-1
1614465472,-1
1614465772,-1
1614466072,-1
1614466372,-1
1614466672,-1
1614466972,-1
1614467272,-1
1614467572,-1
1614467872,-1
1614468172,-1
1614468472,-1
1614468772,-1
1614469072,-1
1614469372,-1
1614469672,-1
1614469972,-1
1614470272,-1
1614470572,-1
1614470872,-1
1614471172,-1
1614471472,-1
1614471772,-1
1614472072,-1
1614472372,-1
1614472672,-1
1614472972,-1
1614473272,-1
1614473572,-1
1614473872,-1
1614474172,-1
1614474472,-1
1614474772,-1
1614475072,-1
1614475372,-1
1614475672,-1
1614475972,-1
1614476272,-1
1614476572,-1
1614476872,-1
1614477172,-1
1614477472,-1
1614477772,-1
1614478072,-1
1614478372,-1
1614478672,-1
1614478972,-1
1614479272,-1
1614479572,-1
1614479872,-1
1614480172,-1
1614480472,-1
1614480772,-1
1614481072,-1
1614481372,-1
1614481672,-1
1614481972,-1
1614482272,-1
1614482572,-1
1614482872,-1
1614483172,-1
1614483472,-1
1614483772,-1
1614484072,-1
1614484372,-1
1614484672,-1
1614484972,-1
1614485272,-1
1614485572,-1
1614485872,-1
1614486172,-1
1614486472,-1
1614486772,-1
1614487072,-1
1614487372,-1
1614487672,-1
1614487972,-1
1614488272,-1
1614488572,-1
1614488872,-1
1614489172,-1
1614489472,-1
1614489772,-1
1614490072,-1
1614490372,-1
1614490672,-1
1614490972,-1
1614491272,-1
1614491572,-1
1614491872,-1
1614492172,-1
1614492472,-1
1614492772,-1
1614493072,-1
1614493372,-1
1614493621,-1
1614493621,-1
