t,value
1614493973,192332
1614494273,192332
1614494573,192332
1614494873,192332
1614495173,192332
1614495473,192332
1614495773,192332
1614496073,192332
1614496373,192332
1614496673,192332
1614496973,192332
1614497273,192332
1614497573,192332
1614497873,192332
1614498173,192332
1614498473,192332
1614498773,192332
1614499073,192332
1614499373,192332
1614499673,192332
1614499973,192332
1614500273,192332
1614500573,192332
1614500873,192332
1614501173,192332
1614501473,192332
1614501773,192332
1614502073,192332
1614502373,192332
1614502673,192332
1614502973,192332
1614503273,192332
1614503573,192332
1614503873,192332
1614504173,192332
1614504473,192332
1614504773,192332
1614505073,192332
1614505373,192332
1614505673,192332
1614505973,192332
1614506273,192332
1614506573,192332
1614506873,192332
1614507173,192332
1614507473,192332
1614507773,192332
1614508073,192332
1614508373,192332
1614508673,192332
1614508973,192332
1614509273,192332
1614509573,192332
1614509873,192332
1614510173,192332
1614510473,192332
1614510773,192332
1614511073,192332
1614511373,192332
1614511673,192332
1614511973,192332
1614512273,192332
1614512573,192332
1614512873,192332
1614513173,192332
1614513473,192332
1614513773,192332
1614514073,192332
1614514373,192332
1614514673,192332
1614514973,192332
1614515273,192332
1614515573,192332
1614515873,192332
1614516173,192332
1614516473,192332
1614516773,192332
1614517073,192332
1614517373,192332
1614517673,192332
1614517973,192332
1614518273,192332
1614518573,192332
1614518873,192332
1614519173,192332
1614519473,192332
1614519773,192332
1614520073,192332
1614520373,192332
1614520574,192332
1614520574,192332
