t,count
1614493973,0
1614494273,0
1614494573,0
1614494873,0
1614495173,0
1614495473,0
1614495773,0
1614496073,0
1614496373,0
1614496673,0
1614496973,0
1614497273,0
1614497573,0
1614497873,0
1614498173,0
1614498473,0
1614498773,0
1614499073,0
1614499373,0
1614499673,0
1614499973,0
1614500273,0
1614500573,0
1614500873,0
1614501173,0
1614501473,0
1614501773,0
1614502073,0
1614502373,0
1614502673,0
1614502973,0
1614503273,0
1614503573,0
1614503873,0
1614504173,0
1614504473,0
1614504773,0
1614505073,0
1614505373,0
1614505673,0
1614505973,0
1614506273,0
1614506573,0
1614506873,0
1614507173,0
1614507473,0
1614507773,0
1614508073,0
1614508373,0
1614508673,0
1614508973,0
1614509273,0
1614509573,0
1614509873,0
1614510173,0
1614510473,0
1614510773,0
1614511073,0
1614511373,0
1614511673,0
1614511973,0
1614512273,0
1614512573,0
1614512873,0
1614513173,0
1614513473,0
1614513773,0
1614514073,0
1614514373,0
1614514673,0
1614514973,0
1614515273,0
1614515573,0
1614515873,0
1614516173,0
1614516473,0
1614516773,0
1614517073,0
1614517373,0
1614517673,0
1614517973,0
1614518273,0
1614518573,0
1614518873,0
1614519173,0
1614519473,0
1614519773,0
1614520073,0
1614520373,0
1614520574,0
1614520574,0
