t,value
1614520931,-1
1614521231,-1
1614521531,-1
1614521831,-1
1614522131,-1
1614522431,-1
1614522731,-1
1614523031,-1
1614523331,-1
1614523631,-1
1614523931,-1
1614524231,-1
1614524531,-1
1614524831,-1
1614525131,-1
1614525431,-1
1614525731,-1
1614526031,-1
1614526331,-1
1614526631,-1
1614526931,-1
1614527231,-1
1614527531,-1
1614527831,-1
1614528131,-1
1614528431,-1
1614528731,-1
1614529031,-1
1614529331,-1
1614529631,-1
1614529931,-1
1614530231,-1
1614530531,-1
1614530831,-1
1614531131,-1
1614531431,-1
1614531731,-1
1614532031,-1
1614532331,-1
1614532631,-1
1614532931,-1
1614533231,-1
1614533531,-1
1614533831,-1
1614534131,-1
1614534431,-1
1614534731,-1
1614535031,-1
1614535331,-1
1614535631,-1
1614535931,-1
1614536231,-1
1614536531,-1
1614536831,-1
1614537131,-1
1614537431,-1
1614537731,-1
1614538031,-1
1614538331,-1
1614538631,-1
1614538931,-1
1614539231,-1
1614539531,-1
1614539831,-1
1614540131,-1
1614540431,-1
1614540731,-1
1614541031,-1
1614541331,-1
1614541631,-1
1614541931,-1
1614542231,-1
1614542531,-1
1614542831,-1
1614543131,-1
1614543431,-1
1614543731,-1
1614544031,-1
1614544331,-1
1614544631,-1
1614544931,-1
1614545231,-1
1614545531,-1
1614545831,-1
1614546131,-1
1614546431,-1
1614546731,-1
1614547031,-1
1614547331,-1
1614547631,-1
1614547931,-1
1614548231,-1
1614548531,-1
1614548831,-1
1614549131,-1
1614549431,-1
1614549731,-1
1614550031,-1
1614550331,-1
1614550631,-1
1614550931,-1
1614551231,-1
1614551531,-1
1614551831,-1
1614552131,-1
1614552431,-1
1614552731,-1
1614553031,-1
1614553331,-1
1614553631,-1
1614553931,-1
1614554231,-1
1614554531,-1
1614554831,-1
1614555131,-1
1614555431,-1
1614555731,-1
1614556031,-1
1614556331,-1
1614556631,-1
1614556931,-1
1614557231,-1
1614557531,-1
1614557831,-1
1614558131,-1
1614558431,-1
1614558731,-1
1614559031,-1
1614559331,-1
1614559631,-1
1614559931,-1
1614560231,-1
1614560531,-1
1614560831,-1
1614561131,-1
1614561431,-1
1614561731,-1
1614562031,-1
1614562331,-1
1614562631,-1
1614562931,-1
1614563231,-1
1614563531,-1
1614563831,-1
1614564131,-1
1614564431,-1
1614564731,-1
1614565031,-1
1614565331,-1
1614565631,-1
1614565931,-1
1614566231,-1
1614566531,-1
1614566831,-1
1614567131,-1
1614567431,-1
1614567731,-1
1614568031,-1
1614568331,-1
1614568631,-1
1614568931,-1
1614569231,-1
1614569531,-1
1614569831,-1
1614570131,-1
1614570431,-1
1614570731,-1
1614571031,-1
1614571331,-1
1614571631,-1
1614571931,-1
1614572231,-1
1614572531,-1
1614572831,-1
1614573131,-1
1614573431,-1
1614573731,-1
1614574031,-1
1614574331,-1
1614574631,-1
1614574931,-1
1614575231,-1
1614575531,-1
1614575831,-1
1614576131,-1
1614576431,-1
1614576731,-1
1614577031,-1
1614577331,-1
1614577631,-1
1614577755,-1
1614577755,-1
