t,value
1614520931,114105653376
1614521231,139351556096
1614521531,141286369104
1614521831,141286996160
1614522131,141269767568
1614522431,141275534160
1614522731,141286884352
1614523031,141293117880
1614523331,141610011024
1614523631,141688773144
1614523931,141676737352
1614524231,141681593896
1614524531,141691499056
1614524831,141695527016
1614525131,141723066816
1614525431,141731232992
1614525731,141732761496
1614526031,141720208520
1614526331,141740898880
1614526631,141732073656
1614526931,141719315504
1614527231,141739086696
1614527531,141725410432
1614527831,141746329464
1614528131,141749318312
1614528431,141736720008
1614528731,141759216696
1614529031,141764377120
1614529331,141767425024
1614529631,141770713000
1614529931,141757874672
1614530231,141779371104
1614530531,141783131208
1614530831,141786993688
1614531131,141774688344
1614531431,141788388336
1614531731,141798405224
1614532031,141790699576
1614532331,141792932584
1614532631,141808374536
1614532931,141799180800
1614533231,141804733216
1614533531,141821687384
1614533831,141823423232
1614534131,141811681376
1614534431,141831476504
1614534731,141838656624
1614535031,141824753288
1614535331,141830702440
1614535631,141842210768
1614535931,141851600360
1614536231,141849291096
1614536531,141853448624
1614536831,141846733944
1614537131,141867028544
1614537431,141866043808
1614537731,141876268696
1614538031,141883203224
1614538331,141882740416
1614538631,141887226320
1614538931,141887221504
1614539231,141884910624
1614539531,141870052264
1614539831,141902595608
1614540131,141909063864
1614540431,141913400832
1614540731,141899863424
1614541031,141904889480
1614541331,141923980400
1614541631,141927687736
1614541931,141898527528
1614542231,141935972432
1614542531,141939617192
1614542831,141942402816
1614543131,141930943512
1614543431,141952048640
1614543731,141940432112
1614544031,141947861248
1614544331,141960154704
1614544631,141933738496
1614544931,141961214976
1614545231,141971935720
1614545531,141943536128
1614545831,141950249424
1614546131,141984102400
1614546431,141955024384
1614546731,141983453520
1614547031,141981300696
1614547331,141983205856
1614547631,142000178528
1614547931,141972827816
1614548231,142009125888
1614548531,141980466944
1614548831,141999696760
1614549131,142011754752
1614549431,141992648664
1614549731,142023909040
1614550031,142024730368
1614550331,142002530576
1614550631,142005685312
1614550931,142034448008
1614551231,142015239376
1614551531,142017683568
1614551831,142020038400
1614552131,142055778816
1614552431,142027399376
1614552731,142048668688
1614553031,142056917664
1614553331,142069634944
1614553631,142072544792
1614553931,142047098720
1614554231,142073201880
1614554531,142082832024
1614554831,142055022960
1614555131,142086837512
1614555431,142068603856
1614555731,142095732184
1614556031,142076609920
1614556331,142096079120
1614556631,142097073424
1614556931,142116799216
1614557231,142106344192
1614557531,142095369520
1614557831,142126029232
1614558131,142104623576
1614558431,142126393656
1614558731,142133332752
1614559031,142138216256
1614559331,142116895448
1614559631,142122280752
1614559931,142125914824
1614560231,142142481384
1614560531,142130356832
1614560831,142133293536
1614561131,142169137144
1614561431,142160880296
1614561731,142168424632
1614562031,142178831616
1614562331,142157412288
1614562631,142160710840
1614562931,142163183408
1614563231,142181878640
1614563531,142192158000
1614563831,142189333376
1614564131,142182355664
1614564431,142201036632
1614564731,142211661944
1614565031,142209530864
1614565331,142221131208
1614565631,142195888496
1614565931,142228271080
1614566231,142222379008
1614566531,142205743120
1614566831,142212401088
1614567131,142233734480
1614567431,142220929600
1614567731,142223578112
1614568031,142226261352
1614568331,142248846592
1614568631,142235338400
1614568931,142264555240
1614569231,142269793440
1614569531,142246173232
1614569831,142270529728
1614570131,142255806976
1614570431,142257489936
1614570731,142284277760
1614571031,142290063944
1614571331,142268455296
1614571631,142300268360
1614571931,142297095808
1614572231,142300407712
1614572531,142311322872
1614572831,142308023456
1614573131,142309710400
1614573431,142311697152
1614573731,142316523640
1614574031,142387138120
1614574331,142409608192
1614574631,142443510768
1614574931,142448321024
1614575231,142438910024
1614575531,142436833744
1614575831,142438235672
1614576131,142437162584
1614576431,142470785504
1614576731,142472386632
1614577031,142472819296
1614577331,142471735576
1614577631,142470862512
1614577755,142470862512
1614577755,142470862512
