t,value
1614578127,171966464
1614578427,171966464
1614578727,171966464
1614579027,171966464
1614579327,171966464
1614579627,171966464
1614579927,171966464
1614580227,171966464
1614580527,171966464
1614580827,171966464
1614581127,171966464
1614581427,171966464
1614581727,171966464
1614582027,171966464
1614582327,171966464
1614582627,171966464
1614582927,171966464
1614583227,171966464
1614583527,171966464
1614583827,171966464
1614584127,171966464
1614584427,171966464
1614584727,171966464
1614585027,171966464
1614585327,171966464
1614585627,171966464
1614585927,171966464
1614586227,171966464
1614586527,171966464
1614586827,171966464
1614587127,171966464
1614587427,171966464
1614587727,171966464
1614588027,171966464
1614588327,171966464
1614588627,171966464
1614588927,171966464
1614589227,171966464
1614589527,171966464
1614589827,171966464
1614590127,171966464
1614590427,171966464
1614590727,171966464
1614591027,171966464
1614591327,171966464
1614591627,171966464
1614591927,171966464
1614592227,171966464
1614592527,171966464
1614592827,171966464
1614593127,171966464
1614593427,171966464
1614593727,171966464
1614594027,171966464
1614594327,171966464
1614594627,171966464
1614594927,171966464
1614595227,171966464
1614595527,171966464
1614595827,171966464
1614596127,171966464
1614596427,171966464
1614596727,171966464
1614597027,171966464
1614597327,171966464
1614597627,171966464
1614597927,171966464
1614598227,171966464
1614598527,171966464
1614598827,171966464
1614599127,171966464
1614599427,171966464
1614599727,171966464
1614600027,171966464
1614600327,171966464
1614600627,171966464
1614600927,171966464
1614601227,171966464
1614601527,171966464
1614601827,171966464
1614602127,171966464
1614602427,171966464
1614602727,171966464
1614603027,171966464
1614603327,171966464
1614603627,171966464
1614603927,171966464
1614604227,171966464
1614604527,171966464
1614604827,171966464
1614605127,171966464
1614605427,171966464
1614605727,171966464
1614606027,171966464
1614606327,171966464
1614606627,171966464
1614606927,171966464
1614607227,171966464
1614607527,171966464
1614607827,171966464
1614608127,171966464
1614608427,171966464
1614608727,171966464
1614609027,171966464
1614609327,171966464
1614609627,171966464
1614609927,171966464
1614610227,171966464
1614610527,171966464
1614610827,171966464
1614611127,171966464
1614611427,171966464
1614611727,171966464
1614612027,171966464
1614612327,171966464
1614612627,171966464
1614612927,171966464
1614613227,171966464
1614613527,171966464
1614613827,171966464
1614614127,171966464
1614614427,171966464
1614614727,171966464
1614615027,171966464
1614615327,171966464
1614615627,171966464
1614615927,171966464
1614616227,171966464
1614616527,171966464
1614616827,171966464
1614617127,171966464
1614617427,171966464
1614617727,171966464
1614618027,171966464
1614618327,171966464
1614618627,171966464
1614618927,171966464
1614619227,171966464
1614619527,171966464
1614619827,171966464
1614620127,171966464
1614620427,171966464
1614620727,171966464
1614621027,171966464
1614621327,171966464
1614621627,171966464
1614621927,171966464
1614622227,171966464
1614622527,171966464
1614622827,171966464
1614623127,171966464
1614623427,171966464
1614623727,171966464
1614624027,171966464
1614624327,171966464
1614624627,171966464
1614624927,171966464
1614625227,171966464
1614625527,171966464
1614625827,171966464
1614626127,171966464
1614626427,171966464
1614626727,171966464
1614627027,171966464
1614627327,171966464
1614627627,171966464
1614627927,171966464
1614628227,171966464
1614628527,171966464
1614628827,171966464
1614629127,171966464
1614629427,171966464
1614629727,171966464
1614630027,171966464
1614630327,171966464
1614630627,171966464
1614630927,171966464
1614631227,171966464
1614631527,171966464
1614631827,171966464
1614632127,171966464
1614632427,171966464
1614632727,171966464
1614633027,171966464
1614633327,171966464
1614633627,171966464
1614633927,171966464
1614634227,171966464
1614634527,171966464
1614634827,171966464
1614635127,171966464
1614635427,171966464
1614635727,171966464
1614636027,171966464
1614636327,171966464
1614636627,171966464
1614636927,171966464
1614637227,171966464
1614637527,171966464
1614637827,171966464
1614638127,171966464
1614638427,171966464
1614638727,171966464
1614639027,171966464
1614639327,171966464
1614639627,171966464
1614639927,171966464
1614640227,171966464
1614640527,171966464
1614640827,171966464
1614641127,171966464
1614641427,171966464
1614641727,171966464
1614642027,171966464
1614642327,171966464
1614642627,171966464
1614642927,171966464
1614643227,171966464
1614643527,171966464
1614643827,171966464
1614644127,171966464
1614644427,171966464
1614644727,171966464
1614645027,171966464
1614645327,171966464
1614645627,171966464
1614645927,171966464
1614646227,171966464
1614646527,171966464
1614646827,171966464
1614647127,171966464
1614647427,171966464
1614647727,171966464
1614648027,171966464
1614648327,171966464
1614648627,171966464
1614648927,171966464
1614649227,171966464
1614649527,171966464
1614649827,171966464
1614650127,171966464
1614650427,171966464
1614650727,171966464
1614651027,171966464
1614651327,171966464
1614651627,171966464
1614651927,171966464
1614652227,171966464
1614652527,171966464
1614652827,171966464
1614653127,171966464
1614653427,171966464
1614653727,171966464
1614654027,171966464
1614654327,171966464
1614654627,171966464
1614654927,171966464
1614655227,171966464
1614655527,171966464
1614655827,171966464
1614656127,171966464
1614656427,171966464
1614656727,171966464
1614657027,171966464
1614657327,171966464
1614657627,171966464
1614657927,171966464
1614658227,171966464
1614658527,171966464
1614658827,171966464
1614659127,171966464
1614659427,171966464
1614659727,171966464
1614660027,171966464
1614660327,171966464
1614660627,171966464
1614660927,171966464
1614661227,171966464
1614661527,171966464
1614661827,171966464
1614662127,171966464
1614662427,171966464
1614662727,171966464
1614663027,171966464
1614663327,171966464
1614663627,171966464
1614663927,171966464
1614664227,171966464
1614664527,171966464
1614664827,171966464
1614665127,171966464
1614665427,171966464
1614665727,171966464
1614666027,171966464
1614666327,171966464
1614666627,171966464
1614666927,171966464
1614667227,171966464
1614667527,171966464
1614667827,171966464
1614668127,171966464
1614668427,171966464
1614668727,171966464
1614669027,171966464
1614669327,171966464
1614669627,171966464
1614669927,171966464
1614670227,171966464
1614670527,171966464
1614670827,171966464
1614671127,171966464
1614671427,171966464
1614671727,171966464
1614672027,171966464
1614672327,171966464
1614672627,171966464
1614672927,171966464
1614673227,171966464
1614673527,171966464
1614673827,171966464
1614674127,171966464
1614674427,171966464
1614674727,171966464
1614675027,171966464
1614675327,171966464
1614675627,171966464
1614675927,171966464
1614676227,171966464
1614676527,171966464
1614676827,171966464
1614677127,171966464
1614677427,171966464
1614677727,171966464
1614678027,171966464
1614678327,171966464
1614678627,171966464
1614678927,171966464
1614679227,171966464
1614679527,171966464
1614679827,171966464
1614680127,171966464
1614680427,171966464
1614680727,171966464
1614681027,171966464
1614681327,171966464
1614681627,171966464
1614681927,171966464
1614682227,171966464
1614682527,171966464
1614682827,171966464
1614683127,171966464
1614683427,171966464
1614683727,171966464
1614684027,171966464
1614684327,171966464
1614684627,171966464
1614684927,171966464
1614685227,171966464
1614685527,171966464
1614685827,171966464
1614686127,171966464
1614686427,171966464
1614686727,171966464
1614687027,171966464
1614687327,171966464
1614687627,171966464
1614687927,171966464
1614688227,171966464
1614688527,171966464
1614688827,171966464
1614689127,171966464
1614689427,171966464
1614689727,171966464
1614690027,171966464
1614690327,171966464
1614690627,171966464
1614690927,171966464
1614691227,171966464
1614691527,171966464
1614691827,171966464
1614692127,171966464
1614692427,171966464
1614692727,171966464
1614693027,171966464
1614693327,171966464
1614693627,171966464
1614693927,171966464
1614694227,171966464
1614694527,171966464
1614694827,171966464
1614695127,171966464
1614695427,171966464
1614695727,171966464
1614696027,171966464
1614696327,171966464
1614696627,171966464
1614696927,171966464
1614697227,171966464
1614697527,171966464
1614697827,171966464
1614698127,171966464
1614698427,171966464
1614698727,171966464
1614699027,171966464
1614699327,171966464
1614699627,171966464
1614699927,171966464
1614700227,171966464
1614700527,171966464
1614700827,171966464
1614701127,171966464
1614701427,171966464
1614701727,171966464
1614702027,171966464
1614702327,171966464
1614702627,171966464
1614702927,171966464
1614703227,171966464
1614703527,171966464
1614703827,171966464
1614704127,171966464
1614704427,171966464
1614704727,171966464
1614705027,171966464
1614705327,171966464
1614705627,171966464
1614705927,171966464
1614706227,171966464
1614706527,171966464
1614706827,171966464
1614707127,171966464
1614707427,171966464
1614707727,171966464
1614708027,171966464
1614708327,171966464
1614708627,171966464
1614708927,171966464
1614709227,171966464
1614709527,171966464
1614709827,171966464
1614710127,171966464
1614710427,171966464
1614710727,171966464
1614711027,171966464
1614711327,171966464
1614711627,171966464
1614711927,171966464
1614712227,171966464
1614712527,171966464
1614712827,171966464
1614713127,171966464
1614713427,171966464
1614713727,171966464
1614714027,171966464
1614714327,171966464
1614714627,171966464
1614714927,171966464
1614715227,171966464
1614715527,171966464
1614715827,171966464
1614716127,171966464
1614716427,171966464
1614716727,171966464
1614717027,171966464
1614717327,171966464
1614717627,171966464
1614717927,171966464
1614718227,171966464
1614718527,171966464
1614718827,171966464
1614719127,171966464
1614719427,171966464
1614719727,171966464
1614720027,171966464
1614720327,171966464
1614720627,171966464
1614720927,171966464
1614721227,171966464
1614721527,171966464
1614721827,171966464
1614722127,171966464
1614722427,171966464
1614722727,171966464
1614723027,171966464
1614723327,171966464
1614723627,171966464
