t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1614784468,44,3.724259,0.445967,0.004947,0.584090,0.251737,0.453782,1.884250,2.019093,2.019093,2.132812,0.146677,0.222486,1.199450,2.194818,calls/second,milliseconds
1614784768,67,3.724259,0.156874,0.001525,0.326937,0.045229,0.068017,0.596533,1.616287,1.884250,2.019093,0.111670,0.021227,0.487290,1.599382,calls/second,milliseconds
1614785068,72,3.724259,0.061727,0.001525,0.047757,0.074663,0.074663,0.074663,0.074663,0.074663,0.517260,0.080002,0.015383,0.189695,1.150718,calls/second,milliseconds
1614785368,80,4.341480,0.139956,0.001525,0.532285,0.066283,0.066283,0.066283,2.270533,4.341480,4.341480,0.066668,0.015759,0.084051,0.831658,calls/second,milliseconds
1614785668,85,4.341480,0.049645,0.001525,0.058318,0.047187,0.052490,0.056726,0.066283,0.083413,0.083413,0.056668,0.015347,0.041351,0.600619,calls/second,milliseconds
1614785968,90,4.341480,0.043511,0.001525,0.010039,0.039977,0.054407,0.054407,0.059203,0.059203,0.059203,0.050001,0.015344,0.025643,0.435073,calls/second,milliseconds
1614786268,95,4.341480,0.051522,0.001525,0.003111,0.053907,0.053907,0.053907,0.053907,0.053907,0.054407,0.045239,0.015344,0.019864,0.316454,calls/second,milliseconds
1614786568,100,4.341480,0.050309,0.001525,0.003467,0.047813,0.054873,0.055147,0.055147,0.055147,0.055147,0.041667,0.015344,0.017738,0.231460,calls/second,milliseconds
1614786868,105,4.341480,0.043735,0.001525,0.005491,0.040000,0.051909,0.051909,0.054077,0.054077,0.055147,0.038889,0.015344,0.016956,0.170559,calls/second,milliseconds
1614787168,110,4.341480,0.051083,0.001525,0.001818,0.052083,0.052083,0.052083,0.053697,0.053697,0.053697,0.036667,0.015344,0.016668,0.126921,calls/second,milliseconds
1614787468,115,4.341480,0.047381,0.001525,0.000877,0.046943,0.048660,0.048660,0.048660,0.048660,0.052083,0.034849,0.015344,0.016563,0.095653,calls/second,milliseconds
1614787768,120,4.341480,0.049509,0.001525,0.001802,0.049989,0.049989,0.052326,0.052983,0.052983,0.052983,0.033334,0.015344,0.016524,0.073249,calls/second,milliseconds
1614787889,123,4.341480,0.265381,0.001525,0.165607,0.381004,0.381004,0.434845,0.434845,0.434845,0.434845,0.033052,0.014117,0.016243,0.065813,calls/second,milliseconds
1614787889,123,4.341480,0.265381,0.001525,0.165607,0.381004,0.381004,0.434845,0.434845,0.434845,0.434845,0.033052,0.014117,0.016243,0.065813,calls/second,milliseconds
