t,value
1615584769,6878658560
1615585069,7918845952
1615585369,1845493760
1615585669,9160359936
1615585969,1275068416
1615586269,3087007744
1615586569,4932501504
1615586869,13354663936
1615587169,9193914368
1615587469,50465865728
1615587769,8053063680
1615588069,57914949632
1615588369,13824425984
1615588669,64491618304
1615588969,77946945536
1615589269,9730785280
1615589569,1375731712
1615589869,10066329600
1615590169,9294577664
1615590469,27212644352
1615590769,39359348736
1615591069,43251662848
1615591369,35500589056
1615591669,15804137472
1615591969,66504884224
1615592269,20602421248
1615592569,5435817984
1615592869,56673435648
1615593169,31507611648
1615593469,81403052032
1615593769,46036680704
1615594069,87476404224
1615594369,18119393280
1615594669,64256737280
1615594969,29326573568
1615595269,74927046656
1615595569,33722204160
1615595869,79255568384
1615596169,29729226752
1615596469,75463917568
1615596769,25736249344
1615597069,71772930048
1615597369,536870912
1615597669,8321499136
1615597969,12280922112
1615598269,8355053568
1615598569,8489271296
1615598869,26877100032
1615599169,12448694272
1615599469,28152168448
1615599769,12348030976
1615600069,27648851968
1615600369,8858370048
1615600669,21239955456
1615600969,31708938240
1615601269,40399536128
1615601569,3355443200
1615601869,4630511616
1615602169,2281701376
1615602469,49660559360
1615602769,44493176832
1615603069,38319161344
1615603369,28487712768
1615603669,8489271296
1615603969,8589934592
1615604269,4932501504
1615604569,8657043456
1615604869,570425344
1615605169,15569256448
1615605469,27380416512
1615605769,34896609280
1615606069,37413191680
1615606369,39661338624
1615606669,41808822272
1615606969,43352326144
1615607269,44862275584
1615607569,46204452864
1615607869,47244640256
1615608169,301989888
1615608469,234881024
1615608769,48687480832
1615609069,838860800
1615609369,8858370048
1615609669,9764339712
1615609969,11844714496
1615610269,33554432
1615610569,25736249344
1615610869,24696061952
1615611169,14495514624
1615611469,31910264832
1615611769,5167382528
1615612069,10938744832
1615612369,14495514624
1615612669,15099494400
1615612969,10468982784
1615613269,402653184
1615613569,49727668224
1615613869,32682016768
1615614169,12884901888
1615614469,61840818176
1615614769,48150609920
1615615069,3422552064
1615615369,4127195136
1615615669,6777995264
1615615969,9630121984
1615616269,1375731712
1615616569,8220835840
1615616869,9563013120
1615617169,6341787648
1615617469,28923920384
1615617769,12616466432
1615618069,29427236864
1615618369,3925868544
1615618669,16710107136
1615618969,24494735360
1615619269,3623878656
1615619569,1409286144
1615619869,3657433088
1615620169,6912212992
1615620469,5905580032
1615620769,1509949440
1615621069,11475615744
1615621369,17213423616
1615621669,17045651456
1615621969,9797894144
1615622269,25669140480
1615622569,838860800
1615622869,7348420608
1615623169,10066329600
1615623469,9663676416
1615623769,5972688896
1615624069,3858759680
1615624369,2080374784
1615624669,536870912
1615624969,49962549248
1615625269,48721035264
1615625569,2818572288
1615625869,838860800
1615626169,6777995264
1615626469,838860800
1615626769,13891534848
1615627069,11039408128
1615627369,5167382528
1615627669,17850957824
1615627868,1543503872
1615627868,1644167168
