t,value
1615639264,78114692608
1615639564,104941486080
1615639864,130560294912
1615640164,147152961536
1615640464,161010941952
1615640764,174097170432
1615641064,187468611584
1615641364,201263677952
1615641664,70313312256
1615641964,68908220928
1615642264,61639491584
1615642564,74406952960
1615642864,89204457472
1615643164,103616086016
1615643464,117859942400
1615643764,132523229184
1615644064,147236847616
1615644364,161380040704
1615644664,168376139776
1615644964,183358193664
1615645264,198273138688
1615645564,41355837440
1615645864,47110422528
1615646164,59726888960
1615646464,74759274496
1615646764,89556779008
1615647064,104371060736
1615647364,118799466496
1615647664,133479530496
1615647964,148058931200
1615648264,162101460992
1615648564,176966074368
1615648864,191629361152
1615649164,206745632768
1615649464,44728057856
1615649764,52311359488
1615650064,66823651328
1615650364,81654710272
1615650664,96653541376
1615650964,110947729408
1615651264,125845897216
1615651564,132305125376
1615651864,147136184320
1615652164,161866579968
1615652464,176815079424
1615652764,191579029504
1615653064,206611415040
1615653364,48570040320
1615653664,57512296448
1615653964,71907147776
1615654264,86570434560
1615654564,93971284480
1615654864,108749914112
1615655164,123161542656
1615655464,137690611712
1615655764,152337121280
1615656064,166933299200
1615656364,181881798656
1615656664,196427644928
1615656964,211258703872
1615657264,45365592064
1615657564,53284438016
1615657864,68014833664
1615658164,83152077312
1615658464,97777614848
1615658764,112759668736
1615659064,127037079552
1615659364,141683589120
1615659664,39460012032
1615659964,49861885952
1615660264,64508395520
1615660564,79339454464
1615660864,94103404544
1615661164,109102235648
1615661464,123547418624
1615661764,138328145920
1615662064,152588779520
1615662364,167000408064
1615662664,182083125248
1615662964,46103789568
1615663264,54609838080
1615663564,69306679296
1615663864,76336332800
1615664164,91049951232
1615664464,105730015232
1615664764,120544296960
1615665064,135174029312
1615665364,150088974336
1615665664,165087805440
1615665964,180053082112
1615666264,195337125888
1615666564,37413191680
1615666864,46590328832
1615667164,61622714368
1615667464,76202115072
1615667764,91251277824
1615668064,105579020288
1615668364,119990648832
1615668664,38453379072
1615668964,49928994816
1615669264,65028489216
1615669564,80178315264
1615669864,95042928640
1615670164,109790101504
1615670464,124470165504
1615670764,138881794048
1615671064,153863847936
1615671364,168577466368
1615671664,183878287360
1615671964,50516197376
1615672264,43973083136
1615672564,35416702976
1615672864,44543508480
1615673164,45181042688
1615673464,37362860032
1615673764,38101057536
1615674064,40047214592
1615674364,40298872832
1615674664,42077257728
1615674964,33806090240
1615675264,43301994496
1615675564,44291850240
1615675864,35349594112
1615676164,44073746432
1615676464,45550141440
1615676764,36993761280
1615677064,38117834752
1615677364,40399536128
1615677664,40047214592
1615677964,41607495680
1615678264,33302773760
1615678564,43754979328
1615678864,45818576896
1615679164,36574330880
1615679464,36373004288
1615679764,46774878208
1615680064,37312528384
1615680364,38335938560
1615680664,47898951680
1615680964,39074136064
1615681264,40131100672
1615681564,32329695232
1615681864,41892708352
1615682164,42932895744
1615682464,34779168768
1615682764,35685138432
1615683064,45566918656
1615683364,37379637248
1615683664,37463523328
1615683964,47294971904
1615684264,39107690496
1615684564,40365981696
1615684864,41070624768
1615685164,40651194368
1615685464,42496688128
1615685764,33369882624
1615686064,42932895744
1615686364,43922751488
1615686664,35349594112
1615686964,36305895424
1615687264,46808432640
1615687564,37866176512
1615687864,38671482880
1615688164,31222398976
1615688464,40852520960
1615688764,41271951360
1615689064,32598130688
1615689364,42295361536
1615689664,44409290752
1615689964,35467034624
1615690264,36356227072
1615690564,46674214912
1615690864,38956695552
1615691164,38705037312
1615691464,40063991808
1615691764,39862665216
1615692064,41909485568
1615692364,33520877568
1615692664,42899341312
1615692964,44191186944
1615693264,35248930816
1615693564,36272340992
1615693864,46607106048
1615694164,37933285376
1615694464,39376125952
1615694764,40483422208
1615695064,39829110784
1615695364,41003515904
1615695664,31457280000
1615695964,42161143808
1615696264,43687870464
1615696564,34561064960
1615696864,35450257408
1615697164,46137344000
1615697464,37396414464
1615697764,37580963840
1615698064,47563407360
1615698364,39141244928
1615698664,40483422208
1615698964,30769414144
1615699264,40986738688
1615699564,42245029888
1615699864,33000783872
1615700164,43134222336
1615700464,44090523648
1615700764,35685138432
1615701064,36893097984
1615701364,46019903488
1615701664,37362860032
1615701964,38017171456
1615702264,47714402304
1615702564,38369492992
1615702864,39527120896
1615703164,31356616704
1615703464,40919629824
1615703764,42144366592
1615704064,32631685120
1615704364,42882564096
1615704664,43486543872
1615704964,35618029568
1615705264,35819356160
1615705564,45348814848
1615705864,36591108096
1615706164,37698404352
1615706464,47647293440
1615706764,38721814528
1615707064,40298872832
1615707364,41120956416
1615707664,40433090560
1615707964,41557164032
1615708264,32078036992
1615708564,41959817216
1615708864,42798678016
1615709164,33202110464
1615709464,42043703296
1615709764,43268440064
1615710064,35014049792
1615710364,35987128320
1615710664,46288338944
1615710964,37312528384
1615711264,38386270208
1615711565,40131100672
1615711864,39241908224
1615712164,39963328512
1615712464,41339060224
1615712764,40214986752
1615713064,40735080448
1615713364,32463912960
1615713664,42228252672
1615713964,43184553984
1615714264,33638318080
1615714564,43436212224
1615714864,44627394560
1615715164,35785801728
1615715464,36389781504
1615715764,46321893376
1615716064,36792434688
1615716364,36859543552
1615716664,47177531392
1615716964,37127979008
1615717264,38319161344
1615717564,47932506112
1615717864,39292239872
1615718164,39963328512
1615718464,31356616704
1615718764,40802189312
1615719064,42026926080
1615719364,32329695232
1615719664,41859153920
1615719964,43385880576
1615720264,33571209216
1615720564,43218108416
1615720864,44409290752
1615721164,35215376384
1615721464,35517366272
1615721764,46087012352
1615722064,36792434688
1615722364,38436601856
1615722664,49358569472
1615722964,39946551296
1615723264,41154510848
1615723564,31440502784
1615723864,41037070336
1615724164,42513465344
1615724464,33403437056
1615724764,42496688128
1615725064,43704647680
1615725364,34879832064
1615725664,36238786560
1615725964,46607106048
1615726264,37765513216
1615726564,39443234816
1615726864,48251273216
1615727164,38705037312
1615727464,39543898112
1615727764,40953184256
1615728064,39946551296
1615728364,42077257728
1615728664,31658606592
1615728964,41741713408
1615729264,42580574208
1615729564,33135001600
1615729864,41691381760
1615730164,42547019776
1615730464,33571209216
1615730764,43167776768
1615731064,44325404672
1615731364,34678505472
1615731664,43704647680
1615731964,44610617344
1615732264,36104568832
1615732564,37463523328
1615732864,47647293440
1615733164,38671482880
1615733464,39644561408
1615733764,40802189312
1615734064,40550531072
1615734364,41641050112
1615734664,32413581312
1615734964,41758490624
1615735264,43251662848
1615735564,34644951040
1615735864,35920019456
1615736164,45466255360
1615736464,36859543552
1615736764,37530632192
1615737064,46472888320
1615737364,37933285376
1615737664,38956695552
1615737965,40886075392
1615738264,39426457600
1615738564,39946551296
1615738864,41255174144
1615739164,40516976640
1615739464,41070624768
1615739764,32933675008
1615740064,41926262784
1615740364,43738202112
1615740664,33336328192
1615740964,43218108416
1615741264,44962938880
