t,value
1615944349,2555904
1615944649,2555904
1615944949,2555904
1615945249,2555904
1615945549,2555904
1615945849,2555904
1615946149,2555904
1615946449,2555904
1615946749,2555904
1615947049,2555904
1615947349,2555904
1615947649,2555904
1615947949,2555904
1615948249,2555904
1615948549,2555904
1615948849,2555904
1615949149,2555904
1615949449,2555904
1615949749,2555904
1615950049,2555904
1615950349,2555904
1615950649,2555904
1615950949,2555904
1615951249,2555904
1615951549,2555904
1615951849,2555904
1615952102,2555904
1615952102,2555904
