t,value
1616027754,8192
1616028054,8200
1616028354,8200
1616028654,8200
1616028954,8200
1616029254,8192
1616029554,8192
1616029854,8192
1616030154,8192
1616030454,8192
1616030754,8192
1616031054,8192
1616031354,8192
1616031654,8192
1616031954,8192
1616032254,8192
1616032554,8192
1616032854,8192
1616033154,8192
1616033454,8192
1616033754,8192
1616034054,8192
1616034354,8192
1616034654,8192
1616034954,8192
1616035254,8192
1616035554,8192
1616035854,8192
1616036154,8192
1616036454,8192
1616036754,8192
1616037054,8192
1616037354,8192
1616037654,8192
1616037954,8192
1616038254,8192
1616038554,8192
1616038854,8192
1616039154,8192
1616039454,8192
1616039754,8192
1616040054,8192
1616040354,8192
1616040654,8192
1616040954,8192
1616041254,8192
1616041554,8192
1616041854,8192
1616042154,8192
1616042454,8192
1616042754,8192
1616043054,8192
1616043354,8192
1616043654,8192
1616043954,8192
1616044254,8192
1616044554,8192
1616044854,8192
1616045154,8192
1616045454,8192
1616045754,8192
1616046054,8192
1616046354,8192
1616046654,8192
1616046954,8192
1616047254,8192
1616047554,8192
1616047854,8192
1616048154,8192
1616048454,8192
1616048754,8192
1616049054,8192
1616049354,8192
1616049654,8192
1616049954,8192
1616050254,8192
1616050554,8192
1616050854,8192
1616051154,8192
1616051454,8192
1616051754,8192
1616052054,8192
1616052354,8192
1616052654,8192
1616052954,8192
1616053254,8192
1616053554,8192
1616053854,8192
1616054154,8192
1616054454,8192
1616054754,8192
1616055054,8192
1616055354,8192
1616055654,8192
1616055954,8192
1616056254,8192
1616056554,8192
1616056854,8192
1616057154,8192
1616057454,8192
1616057754,8192
1616058054,8192
1616058354,8192
1616058654,8192
1616058954,8192
1616059254,8192
1616059554,8192
1616059854,8192
1616060154,8192
1616060454,8192
1616060754,8192
1616061054,8192
1616061354,8192
1616061654,8192
1616061954,8192
1616062254,8192
1616062554,8192
1616062854,8192
1616063154,8192
1616063454,8192
1616063754,8192
1616064054,8192
1616064354,8192
1616064654,8192
1616064954,8192
1616065254,8192
1616065554,8192
1616065854,8192
1616066154,8192
1616066454,8192
1616066754,8192
1616067054,8192
1616067354,8192
1616067654,8192
1616067954,8192
1616068254,8192
1616068554,8192
1616068854,8192
1616069154,8192
1616069454,8192
1616069754,8192
1616070054,8192
1616070354,8192
1616070654,8192
1616070954,8192
1616071254,8192
1616071554,8192
1616071854,8192
1616072154,8192
1616072454,8192
1616072754,8192
1616073054,8192
1616073354,8192
1616073654,8192
1616073954,8192
1616074254,8192
1616074554,8192
1616074854,8192
1616075154,8192
1616075454,8192
1616075754,8192
1616076054,8192
1616076354,8192
1616076654,8192
1616076954,8192
1616077254,8192
1616077554,8192
1616077854,8192
1616078154,8192
1616078454,8192
1616078754,8192
1616079054,8192
1616079354,8192
1616079654,8192
1616079954,8192
1616080254,8192
1616080554,8192
1616080854,8192
1616081154,8192
1616081454,8192
1616081754,8192
1616082054,8192
1616082354,8192
1616082654,8192
1616082954,8192
1616083254,8192
1616083554,8192
1616083854,8192
1616084154,8192
1616084454,8192
1616084754,8192
1616085054,8192
1616085354,8192
1616085654,8192
1616085954,8192
1616086254,8192
1616086554,8192
1616086854,8192
1616087154,8192
1616087454,8192
1616087754,8192
1616088054,8192
1616088354,8192
1616088654,8192
1616088954,8192
1616089254,8192
1616089554,8192
1616089854,8192
1616090154,8192
1616090454,8192
1616090754,8192
1616091054,8192
1616091354,8192
1616091654,8192
1616091954,8192
1616092254,8192
1616092554,8192
1616092854,8192
1616093154,8192
1616093454,8192
1616093754,8192
1616094054,8192
1616094354,8192
1616094654,8192
1616094954,8192
1616095254,8192
1616095554,8192
1616095854,8192
1616096154,8192
1616096454,8192
1616096754,8192
1616097054,8192
1616097332,8192
1616097332,8192
